price,amount
0.00000118,700.0
0.00000119,69402.0
0.00000120,129084.0
0.00000129,54198.0
0.00000156,3114.0
0.00000158,1627.0
0.00000159,504.0
0.00000162,607.0
0.00000168,9000.0
0.00000170,1000.0
0.00000175,2992.0
0.00000178,3305.0
0.00000180,98.0
0.00000188,383.0
0.00000201,471.0
0.00000236,156.0
0.00000238,2655.0
0.00000245,1010.0
0.00000247,109.0
0.00000249,1339.0
0.00000250,1473.0
0.00000254,345.0
0.00000302,1553.0
0.00000305,443.0
0.00000312,14116.4
0.00000313,1663.0
0.00000314,2355.0
0.00000317,2478.0
0.00000320,1325.0
0.00000331,2425.0
0.00000338,12.0
0.00000368,2665.0
0.00000387,4531.0
0.00000389,1455.0
0.00000392,2274.0
0.00000393,43.0
0.00000395,2427.3
0.00000412,2566.0
0.00000417,332.0
0.00000425,2215.0
0.00000430,1221.0
0.00000431,1546.0
0.00000445,5813.2
0.00000446,4962.1
0.00000447,4914.2
0.00000448,4157.6
0.00000577,881.9
0.00000850,2344.7
0.00000927,3402.999460625674
0.00001231,8.8
0.00001350,125.5
0.00001390,266.5
0.00001400,641.5
0.00001443,152.3
0.00001444,992.8
0.00001463,250.3535885167464
0.00001465,155.2
0.00001466,122.1
0.00001467,144.6
0.00001468,125.4
0.00001469,125.3
0.00001476,109.3
0.00001479,1466.3
0.00001481,145.3
0.00001482,145.3
0.00001483,145.2
0.00001489,201.3
0.00001490,147.5
0.00001491,134.7
0.00001492,125.9
0.00001493,123.6
0.00001521,13.588231426692966
0.00001523,0.9
0.00001526,446.1
0.00001527,123.0
0.00001528,207.97867887508175
0.00001530,13.25751633986928
0.00001540,13.0
0.00001550,233.0
0.00001560,235.0
0.00001570,344.0
0.00001686,617.2
0.00001687,3717.1
0.00001688,1774.5
0.00001689,241.6
0.00001690,3844.1
0.00001717,215.8
0.00001718,1000.0
0.00001719,2212.0
0.00001720,3125.5
0.00001723,2202.0
0.00001724,1522.3
0.00001725,2363.3
0.00001729,1236.6
0.00001730,2514.3
0.00001735,1000.0
0.00001736,2356.3
0.00001737,1200.0
0.00001738,1500.0
0.00001739,1000.0
0.00001740,1226.9
0.00001742,3632.1
0.00001743,1563.3
0.00001746,1236.6
0.00001747,2132.6
0.00001748,1960.3
0.00001749,4561.2
0.00001753,2203.6
0.00001754,1220.0
0.00001755,1002.3
0.00001761,1552.3
0.00001762,566.3
0.00001764,1000.0
0.00001765,155.3
0.00001768,520.1
0.00001769,1000.0
0.00001772,566.3
0.00001774,1000.0
0.00001777,6221.6
0.00001778,2563.6
0.00001779,789.6
0.00001780,1022.3
0.00001781,2210.3
0.00001782,2563.3
0.00001783,1609.5
0.00001784,1022.3
0.00001785,2256.9
0.00001786,1554.3
0.00001787,1255.3
0.00001788,1233.0
0.00001789,1221.2
0.00001799,683.1
0.00001800,1521.3
0.00001802,2124.5
0.00001803,1000.0
0.00001804,1112.3
0.00001805,1002.3
0.00001807,200.0
0.00001808,800.3
0.00001809,2213.3
0.00001810,546.2
0.00001811,998.6
0.00001812,1000.0
0.00001813,2210.3
0.00001814,1235.6
0.00001815,4164.8
0.00001816,3556.8
0.00001817,2366.9
0.00001818,1308.4
0.00001819,2022.3
