price,amount
0.00004900,1500.0
0.00004970,2000.0
0.00004980,1650.0
0.00005000,1401.0
0.00005600,1399.0
0.00005700,2350.0
0.00005888,1340.0
0.00006300,3578.0
0.00006388,110.0
0.00006390,619.0
0.00006400,11399.0
0.00006800,4424.0
0.00006900,3103.478695652174
0.00007000,3318.0
0.00008210,377.0
0.00035990,500.0
0.00059900,500.0
0.00060003,4166.0
0.00070000,54.0
0.00080000,90.0
0.00080210,2004.0
0.00088000,21.0
0.00088210,1510.0
0.00098000,19.0
0.00300000,1510.0
0.61200000,2758.0
