price,amount
0.00000074,3178.0
0.00000086,572.0
0.00000095,26.0
0.00000101,435.0
0.00000102,715.0
0.00000103,504.0
0.00000104,792.0
0.00000105,594.0
0.00000106,561.0
0.00000107,540.0
0.00000108,998.0
0.00000109,1332.0
0.00000110,1352.0
0.00000111,7748.0
0.00000112,633.0
0.00000113,728.0
0.00000114,759.0
0.00000115,725.0
0.00000116,609.0
0.00000122,670.0
0.00000123,756.0
0.00000134,545.0
0.00000135,582.0
0.00000137,731.0
0.00000138,698.0
0.00000139,770.0
0.00000140,613.0
0.00000141,1161.0
0.00000142,500.0
0.00000143,652.0
0.00000144,760.0
0.00000145,616.0
0.00000146,983.0
0.00000147,534.0
0.00000148,552.0
0.00000149,567.0
0.00000150,3704.0
0.00000151,754.0
0.00000152,729.0
0.00000153,410.0
0.00000154,435.0
0.00000155,719.0
0.00000156,1377.0
0.00000157,572.0
0.00000158,494.0
0.00000159,229.0
0.00000160,379.0
0.00000161,342.0
0.00000162,452.0
0.00000163,512.0
0.00000164,465.0
0.00000165,269.0
0.00000166,756.0
0.00000167,452.0
0.00000168,299.0
0.00000169,334.0
0.00000170,532.0
0.00000171,594.0
0.00000172,568.0
0.00000173,225.0
0.00000174,485.0
0.00000175,520.0
0.00000176,928.0
0.00000177,273.0
0.00000178,823.0
0.00000200,87.0
0.00000203,125.0
0.00000235,280.0
0.00000245,2712.0
0.00000265,1900.0
0.00000287,1146.0
0.00000290,13852.0
0.00000300,11353.0
0.00000394,1474.0
0.00000417,817.0
0.00000419,4842.0
0.00000420,798.0
0.00000430,311.0
0.00000456,1000.0
0.00000535,1014.0
0.00000549,1000.0
0.00000550,1000.0
0.00000555,1000.0
0.00000615,1000.0
0.00000646,1000.0
0.00000800,27520.0
