price,amount
0.00000070,2993.0
0.00000069,2559.0
0.00000068,747.0
0.00000066,8274.0
0.00000060,3500.0
0.00000058,521.0
0.00000057,7200.0
0.00000056,276.0
0.00000055,3200.0
0.00000054,384.0
0.00000053,2000.0
0.00000052,477.0
0.00000051,592.0
0.00000050,3600.0
0.00000049,4120.0
0.00000048,3000.0
0.00000047,2000.0
0.00000046,5000.0
0.00000045,479.0
0.00000044,693.0
0.00000041,765.0
0.00000040,19688.0
0.00000039,427.0
0.00000038,409.0
0.00000037,21500.0
0.00000036,539.0
0.00000035,12000.0
0.00000034,709.0
0.00000033,451.0
0.00000032,11000.0
0.00000030,15800.0
0.00000028,32000.0
0.00000027,45000.0
0.00000026,26500.0
0.00000024,18500.0
0.00000022,50000.0
0.00000020,20000.0
0.00000019,54258.0
0.00000018,511.0
0.00000017,87520.0
0.00000016,88505.0
0.00000015,544.0
0.00000014,58055.0
0.00000013,466.0
0.00000012,54580.0
0.00000010,40000.0
0.00000009,467.0
0.00000005,438.0
0.00000001,64478.0
