price,amount
0.00002647,8791.0
0.00002648,1101.0
0.00002658,176.0
0.00002670,635.0
0.00002729,53.0
0.00002732,364.0
0.00002740,258.0
0.00002742,359.0
0.00002753,322.0
0.00002762,559.0
0.00002778,502.0
0.00002784,427.0
0.00002794,545.0
0.00002803,407.0
0.00002804,569.0
0.00002816,388.0
0.00002821,379.0
0.00002843,482.0
0.00002864,376.0
0.00002868,544.0
0.00002875,231.0
0.00002891,219.0
0.00002909,329.0
0.00002916,346.0
0.00002938,406.0
0.00002949,437.0
0.00003469,625.0
0.00003491,435.0
0.00003701,30000.0
0.00004503,592.0
0.00004546,455.0
0.00004570,582.0
0.00004578,104436.0
0.00004579,39.0
0.00004638,522.0
0.00004725,65.0
0.00004984,462.0
0.00005000,14802.0
0.00005081,218.0
0.00005199,562.0
0.00005372,142.0
0.00005589,449.0
0.00005753,328.0
0.00005955,526.0
0.00006087,635.0
0.00006186,335.0
0.00006397,761.0
0.00006582,628.0
0.00006753,572.0
0.00006892,962.0
0.00007259,962.0
0.00007435,826.0
0.00007500,53130.0
0.00007692,519.0
0.00007877,735.0
0.00007984,796.0
0.00008058,712.0
0.00008162,1032.0
0.00008235,11604.480388585307
0.00008261,676.0
0.00008500,289.0
0.00008560,223.0
0.00008765,246.0
0.00009358,837.0
0.00009732,658.0
0.00009800,43452.0
0.00010000,39333.0
0.00010435,763.0
0.00010568,4140.0
0.00010569,1350.0
0.00010599,20000.0
0.00010719,800.0
0.00010726,300.0
0.00010858,669.0
0.00011092,761.0
0.00011259,973.0
0.00011459,1057.0
0.00011675,1185.0
0.00011878,1285.0
0.00012106,978.0
0.00012239,1658.0
0.00012458,1752.0
0.00012590,1125.0
0.00013208,867.0
0.00013458,792.0
0.00014520,296.0
0.00014658,357.0
0.00014765,369.0
0.00015000,15000.0
0.00015782,928.0
0.00015968,492.0
0.00016086,467.0
0.00016192,397.0
0.00016279,469.0
0.00016388,563.0
0.00016492,558.0
0.00016576,613.0
0.00016658,518.0
0.00017788,1052.0
0.00017873,1068.0
0.00017986,1095.0
0.00018085,1350.0
0.00018192,1800.0
0.00018289,1690.0
0.00018378,1853.0
0.00018482,1968.0
0.00018571,2030.0
0.00018666,2055.0
0.00018752,2067.0
0.00018875,2096.0
0.00018953,2180.0
0.00019065,2368.0
0.00019139,2750.0
0.00019228,2938.0
0.00019352,2650.0
0.00019466,2396.0
0.00019550,1356.0
0.00019557,2570.0
0.00019589,3534.0
0.00019620,3399.0
0.00019711,2822.0
0.00019762,3413.0
0.00019825,3924.0
0.00019878,5277.0
0.00019902,4559.0
0.00020000,3641.0
0.00020192,3646.0
0.00020237,8350.0
0.00021551,8620.0
0.00021586,7950.0
0.00021593,9500.0
0.00021612,8750.0
0.00021668,9800.0
0.00021692,10800.0
0.00021725,12050.0
0.00021773,9518.0
0.00021791,8930.0
0.00021822,9760.0
0.00021867,13052.0
0.00021895,13680.0
0.00021918,9725.0
0.00021954,8930.0
0.00022036,8622.0
0.00022085,13580.0
0.00022136,9600.0
0.00022181,9526.0
0.00022231,9578.0
0.00022282,8667.0
0.00022316,9729.0
0.00022353,8750.0
