price,amount
0.00002315,225.0
0.00002216,236.0
0.00002121,218.0
0.00002038,84.0
0.00001958,325.0
0.00001865,270.0
0.00001762,60.0
0.00001725,66.0
0.00001689,245.0
0.00001617,119.0
0.00001595,534.0
0.00001577,368.0
0.00001539,2125.0
0.00001421,3171.0
0.00001356,400.0
0.00001352,1785.0
0.00001232,1360.0
0.00001200,68350.0
0.00001152,13650.0
0.00001137,11305.0
0.00001108,15000.0
0.00001062,9256.0
0.00001021,20000.0
0.00000958,12065.0
0.00000954,434.0
0.00000902,30000.0
0.00000881,21379.0
0.00000853,13209.0
0.00000822,50000.0
0.00000789,493.0
0.00000775,21958.0
0.00000771,522.0
0.00000748,16322.0
0.00000725,20000.0
0.00000653,16327.0
0.00000612,50000.0
0.00000585,23857.0
0.00000537,25169.0
0.00000502,25000.0
0.00000462,22030.0
0.00000411,20000.0
0.00000361,21308.0
0.00000328,50000.0
0.00000291,30000.0
0.00000252,50000.0
0.00000215,36982.0
0.00000192,50000.0
0.00000185,25726.0
0.00000173,21693.0
0.00000169,50000.0
0.00000150,31528.0
0.00000142,36259.0
0.00000135,50000.0
0.00000125,20000.0
0.00000121,100000.0
0.00000112,394.0
0.00000110,50000.0
0.00000100,150000.0
0.00000096,541.0
0.00000091,100000.0
0.00000082,500000.0
0.00000076,228.0
0.00000073,100000.0
0.00000071,512.0
0.00000065,50000.0
0.00000052,200000.0
0.00000047,332.0
0.00000045,200000.0
0.00000040,408510.0
0.00000021,1000000.0
