price,amount
0.00000018,14980838.0
0.00000019,801877.0
0.00000020,850166.0
0.00000021,886430.0
0.00000022,836295.0
0.00000023,696945.0
0.00000024,24901.0
0.00000025,1152952.0
0.00000026,24900.0
0.00000027,3093535.0
0.00000028,2727845.0
0.00000029,1917112.0
0.00000030,47319.0
0.00000034,10000.0
0.00000036,123425.0
0.00000039,501880.0
0.00000050,477167.0
0.00000064,3000.0
0.00000068,20000.0
0.00000069,335681.0
0.00000070,19000.0
0.00000071,16000.0
0.00000074,47492.0
0.00000076,180000.0
0.00000078,50139.0
0.00000080,116739.0
0.00000081,30000.0
0.00000083,82158.0
0.00000085,429794.0
0.00000089,188744.0
0.00000091,2510.0
0.00000095,70000.0
0.00000096,79928.0
0.00000100,539357.0
0.00000108,5000.0
0.00000111,3000.0
0.00000115,35529.0
0.00000118,37725.0
0.00000122,30000.0
0.00000126,100000.0
0.00000128,66853.0
0.00000130,101321.0
0.00000140,99950.0
0.00000148,1000.0
0.00000150,43867.0
0.00000156,98.0
0.00000157,1000.0
0.00000160,22825.0
0.00000161,1000.0
0.00000168,10000.0
0.00000169,5320.0
0.00000175,142993.0
0.00000184,2000.0
0.00000188,7000.0
0.00000190,20000.0
0.00000192,2000.0
0.00000194,2000.0
0.00000195,2000.0
0.00000199,5899466.0
0.00000200,515000.0
0.00000207,1000.0
0.00000210,1746496.0
0.00000214,304000.0
0.00000215,304146.0
0.00000216,500000.0
0.00000217,652999.0
0.00000218,400000.0
0.00000219,472530.397
0.00000220,1799247.0
0.00000224,1000.0
0.00000226,5000.0
0.00000230,1959809.0
0.00000231,5964.0
0.00000238,15000.0
0.00000239,19523.0
0.00000240,1779620.0
0.00000250,164319.0
0.00000251,3000.0
0.00000269,500.0
0.00000270,33333.0
0.00000289,70.0
0.00000293,1628.0
0.00000299,800.0
0.00000304,500.0
0.00000321,60166.0
0.00000360,6615.0
0.00000369,1200.0
0.00000390,3000.0
0.00000391,3000.0
0.00000392,1200.0
0.00000393,10000.0
0.00000409,10000.0
0.00000412,12568.0
0.00000416,10000.0
0.00000450,2000.0
0.00000470,517661.0
0.00000524,500.0
0.00000525,9999.0
0.00000526,800.0
0.00000530,15673.0
0.00000532,1500.0
0.00000536,3000.0
0.00000547,500.0
0.00000550,24434.0
0.00000555,5767.0
0.00000580,21040.0
0.00000587,5000.0
0.00000600,39371.0
0.00000610,61652.0
0.00000620,27629.0
0.00000625,16991.0
0.00000629,3000.0
0.00000630,20356.0
0.00000667,1500.0
0.00000693,2000.0
0.00000739,10000.0
0.00000816,3000.0
0.00000954,4316.0
0.00002200,7106.0
0.00006000,97678.0
1.00000000,14715.0
2.00000000,5076.0
