price,amount
0.00000159,241515.0
0.00000162,69594.0
0.00000164,115059.0
0.00000169,240100.0
0.00000170,2500000.0
0.00000178,1382538.0
0.00000180,1250000.0
0.00000183,221999.0
0.00000187,280000.0
0.00000189,880809.0
0.00000234,226616.0
0.00000235,546562.0
0.00000236,82446.0
0.00000244,341222.0
0.00000246,123321.0
0.00000247,110000.0
0.00000270,490605.0
0.00000272,6112.0
0.00000275,3147884.0
0.00000278,100000.0
0.00000279,588144.0
0.00000280,100000.0
0.00000282,150000.0
0.00000284,442797.0
0.00000287,250000.0
0.00000288,441108.0
0.00000295,321555.0
0.00000298,150000.0
0.00000318,200000.0
0.00000319,332098.0
0.00000320,2575993.0
0.00000321,106619.0
0.00000330,2317986.0
0.00000337,1000.0
0.00000338,150000.0
0.00000340,200680.0
0.00000350,32951.0
0.00000365,193579.0
0.00000369,498147.0
0.00000370,5000000.0
0.00000385,12750.0
0.00000398,1680000.0
0.00000399,122083.0
0.00000400,100000.0
0.00000419,701491.0
0.00000420,8984822.0
0.00000421,694560.0
0.00000423,347280.0
0.00000426,347280.0
0.00000430,1926408.0
0.00000458,500000.0
0.00000463,1303824.0
0.00000466,540992.0
0.00000467,1295047.0
0.00000468,1341344.0
0.00000470,326775.0
0.00000471,203343.0
0.00000473,98785.0
0.00000493,104543.0
0.00000500,3488421.0
0.00000510,15.0
0.00000522,303193.0
0.00000525,7905682.0
0.00000530,30070.0
0.00000536,5000.0
0.00000538,250000.0
0.00000540,750279.0
0.00000549,300000.0
0.00000553,86295.0
0.00000556,53241.0
0.00000557,442102.0
0.00000558,342124.0
0.00000590,1418.0
0.00000600,686622.0
0.00000620,136704.0
0.00000659,3000000.0
0.00000680,1330000.0
0.00000690,479800.0
0.00000700,467573.0
0.00000749,300000.0
0.00000750,569794.0
0.00000759,3000000.0
0.00000761,300000.0
0.00000780,3612.0
0.00000790,80000.0
0.00000888,48912.0
0.00000890,162122.0
0.00000900,313767.0
0.00000921,1228136.0
0.00001000,1004078.0
0.00001080,283522.0
0.00001500,2233716.0
0.00002020,2753993.0
0.00002490,475946.0
0.00003000,3413636.0
0.00003250,99875.0
0.00003500,201712.0
0.00005200,290734.0
0.00010000,238074.0
0.00012500,1357163.0
0.00017717,4303.0
0.00024000,317439.0
0.00024500,678581.0
0.00028000,211323.0
0.00029000,320175.0
0.00030000,281361.0
0.00039800,161098.0
0.00045600,116774.0
0.00090900,305735.0
0.00100000,8201904.0
0.00119000,199074.0
0.00128360,14265786.0
0.00330000,1206116.0
0.01000000,140884.0
0.10000000,10000.0
0.13178691,250.0
0.20000000,224.0
