price,amount
0.00000151,1000.0
0.00000150,432987.0
0.00000138,395000.0
0.00000137,1452557.0
0.00000136,84432.0
0.00000135,1122972.0
0.00000134,1131354.0
0.00000133,1139860.0
0.00000110,3690017.0
0.00000108,12434.0
0.00000107,266143.0
0.00000106,432213.0
0.00000105,312311.0
0.00000103,580472.0
0.00000102,398182.0
0.00000101,1060487.0
0.00000100,564314.0
0.00000098,328533.0
0.00000092,345124.0
0.00000089,32141.0
0.00000088,1174402.0
0.00000086,15908.0
0.00000085,35242.0
0.00000082,100000.0
0.00000081,1394004.0
0.00000070,3176099.0
0.00000068,10130678.0
0.00000061,12220006.0
0.00000055,1306233.0
0.00000050,1969045.0
0.00000036,1562181.0
0.00000035,321428.0
0.00000033,229566.0
0.00000030,11300530.0
0.00000022,344348.0
0.00000016,2429203.0
0.00000015,20064500.0
0.00000010,43852319.0
0.00000007,1428571.0
0.00000006,3000000.0
0.00000005,7083895.0
0.00000004,17592071.0
0.00000003,3333333.0
0.00000002,17299508.0
0.00000001,135600627.0
