price,amount
0.00000044,59288.0
0.00000046,237152.0
0.00000047,179840.0
0.00000049,167982.0
0.00000050,12345.0
0.00000052,90534.0
0.00000055,28806.0
0.00000061,4194.0
0.00000062,200568.0
0.00000063,2220.0
0.00000064,155135.0
0.00000066,5344.0
0.00000068,186655.0
0.00000069,7236.0
0.00000070,1562.0
0.00000072,2220.0
0.00000073,7812.0
0.00000075,10689.0
0.00000076,296039.0
0.00000079,90035.0
0.00000081,9733.0
0.00000082,15789.0
0.00000083,33524.0
0.00000084,20115.0
0.00000085,31795.0
0.00000086,32443.0
0.00000087,20682.0
0.00000088,359.0
0.00000089,40229.0
0.00000090,19466.0
0.00000092,5623.0
0.00000094,12112.0
0.00000095,85567.0
0.00000096,11679.0
0.00000098,4974.0
0.00000099,32057.0
0.00000100,6534.0
0.00000101,5828.0
0.00000102,706.0
0.00000103,28611.0
0.00000105,10950.0
0.00000110,16425.0
0.00000112,2119.0
0.00000113,15542.0
0.00000115,15188.0
0.00000118,15011.0
0.00000119,10950.0
0.00000120,3355.0
0.00000121,18367.0
0.00000122,4430.0
0.00000123,14129.0
0.00000126,31613.0
0.00000127,4591.0
0.00000128,16778.0
0.00000129,353.0
0.00000130,9890.0
0.00000131,26138.0
0.00000133,1236.0
0.00000135,31613.0
0.00000136,16778.0
0.00000137,11479.0
0.00000140,18367.0
0.00000141,30377.0
0.00000142,13422.0
0.00000143,1766.0
0.00000144,28257.0
0.00000146,9007.0
0.00000147,5651.0
0.00000148,25255.0
0.00000149,9007.0
0.00054000,102.0
