price,amount
0.00000030,17857.0
0.00000029,296440.0
0.00000028,5101.0
0.00000027,9943.0
0.00000026,16355.0
0.00000024,27570.0
0.00000023,35513.0
0.00000022,55606.0
0.00000021,67289.0
0.00000019,346163.0
0.00000017,440734.0
0.00000016,195325.0
0.00000015,255425.0
0.00000014,1191985.0
0.00000013,430717.0
0.00000010,999999.0
0.00000009,180300.0
0.00000008,500685.0
0.00000007,96021.0
0.00000006,644718.0
0.00000005,740740.0
0.00000004,528120.0
0.00000003,1440327.0
0.00000002,397805.0
0.00000001,683761.0
