price,amount
0.00001500,143613.0
0.00001799,19525.0
0.00001800,107710.0
0.00002000,280782.0
0.00002158,1014.0
0.00002500,242348.0
0.00002900,20202.0
0.00003000,200000.0
0.00003500,200000.0
0.00003865,10687.0
0.00003899,9669.0
0.00004000,200000.0
0.00004088,3435.0
0.00004202,4834.0
0.00004357,11705.0
0.00004378,12468.0
0.00004439,1908.0
0.00004658,2162.0
0.00004806,6997.0
0.00004813,4834.0
0.00005000,5097.0
0.00005284,30612.0
0.00005424,11091.0
0.00005748,38154.0
0.00005946,5767.0
0.00006199,1330.0
0.00006565,23957.0
0.00006885,31056.0
0.00007239,44366.0
0.00007364,16415.0
0.00007430,6211.0
0.00007539,24401.0
0.00007761,25288.0
0.00007995,36380.0
0.00008022,5323.0
0.00008150,28394.0
0.00008228,17746.0
0.00008368,14197.0
0.00008466,2661.0
0.00008664,6654.0
0.00008964,20408.0
0.00009147,29725.0
0.00009463,10204.0
0.00009638,22626.0
0.00009755,20408.0
0.00010000,26626.0
