price,amount
0.00001464,5295.0
0.00001400,10102.0
0.00001286,8496.0
0.00001099,14869.0
0.00001088,8496.0
0.00001050,9803.0
0.00000960,7189.0
0.00000956,14379.0
0.00000925,4248.0
0.00000864,323838.0
0.00000862,32248.0
0.00000861,16161.0
0.00000860,4470.0
0.00000858,408.0
0.00000804,20625.0
0.00000789,1250.0
0.00000782,833.0
0.00000765,4166.0
0.00000741,11250.0
0.00000737,8750.0
0.00000733,17708.0
0.00000728,11041.0
0.00000727,15000.0
0.00000718,9375.0
0.00000691,103055.0
0.00000561,104897.0
0.00000521,10000.0
0.00000486,10519.0
0.00000460,11401.0
0.00000451,8309.0
0.00000429,13333.0
0.00000410,11980.0
0.00000409,7737.0
0.00000397,3109.0
0.00000395,3410.0
0.00000388,4113.0
0.00000379,2106.0
0.00000375,4514.0
0.00000365,4715.0
0.00000357,4113.0
0.00000348,2708.0
0.00000340,3210.0
0.00000339,2407.0
0.00000336,6922.0
0.00000332,2808.0
0.00000328,5718.0
0.00000326,3310.0
0.00000322,300.0
0.00000319,9931.0
0.00000315,9530.0
0.00000313,3109.0
0.00000306,3410.0
0.00000299,8828.0
0.00000296,6320.0
0.00000288,9630.0
0.00000286,802.0
0.00000279,5718.0
0.00000277,5818.0
0.00000273,2608.0
0.00000264,1304.0
0.00000260,6219.0
0.00000251,6320.0
0.00000247,8527.0
0.00000242,2207.0
0.00000236,6019.0
0.00000232,6520.0
0.00000230,3611.0
0.00000228,5116.0
0.00000224,8426.0
0.00000215,5718.0
0.00000213,6320.0
0.00000211,9430.0
0.00000200,59855.0
0.00000198,13168.0
0.00000196,113726.0
0.00000194,53870.0
0.00000186,87388.0
0.00000185,1196.0
0.00000183,106542.0
0.00000182,14364.0
0.00000180,5984.0
0.00000179,92178.0
0.00000177,8978.0
0.00000170,34716.0
0.00000169,40702.0
0.00000167,35912.0
0.00000166,51476.0
0.00000164,16161.0
0.00000162,40702.0
0.00000161,2992.0
0.00000157,19153.0
0.00000156,37110.0
0.00000154,116718.0
0.00000153,30525.0
0.00000152,117316.0
0.00000151,16758.0
0.00000150,29927.0
0.00000149,33519.0
0.00000146,94572.0
0.00000143,41898.0
0.00000141,7182.0
0.00000140,143652.0
0.00000139,118514.0
0.00000137,17956.0
0.00000136,38306.0
0.00000132,96966.0
0.00000131,17358.0
0.00000128,99360.0
0.00000127,102952.0
0.00000126,33518.0
0.00000125,150837.0
0.00000123,83798.0
0.00000121,61053.0
0.00000119,94572.0
0.00000118,29329.0
0.00000114,52672.0
0.00000109,94572.0
0.00000107,45490.0
0.00000102,61053.0
0.00000100,58602.0
0.00000096,468818.0
0.00000095,102554.0
0.00000091,126972.0
0.00000090,429750.0
0.00000089,336963.0
0.00000088,400450.0
0.00000087,366264.0
0.00000086,73253.0
0.00000082,43950.0
0.00000081,307662.0
0.00000080,317430.0
0.00000076,429750.0
0.00000075,637299.0
0.00000074,227082.0
0.00000073,58602.0
0.00000071,219758.0
0.00000069,48834.0
0.00000068,4239070.0
0.00000067,600675.0
0.00000066,144064.0
0.00000064,41510.0
0.00000061,112320.0
0.00000059,459052.0
0.00000058,170923.0
0.00000055,87902.0
0.00000053,586023.0
0.00000052,234409.0
0.00000051,483534.0
0.00000050,379946.0
0.00000049,422162.0
