price,amount
0.04157462,0.01
0.04157563,0.112
0.04160189,1.216
0.04160290,1.216
0.04160391,0.386
0.04161603,0.203
0.04165744,0.02
0.04165845,0.026
0.04167259,1.579
0.04173926,0.584
0.04174027,0.406
0.04174127,0.024
0.04182511,0.013
0.04190793,1.0
0.04190894,0.013
0.04198064,0.012
0.04199176,1.0
0.04199277,0.01
0.04207559,10.0
0.04207660,0.026
0.04215739,0.024
0.04216043,0.01
0.04224527,0.013
0.04233010,0.02
0.04241393,0.026
0.04242000,0.998
0.04249877,0.013
0.04258462,0.026
0.04266946,0.026
0.04275431,0.013
0.04276541,2.0
0.04282400,0.649
0.04284016,0.013
0.04288157,0.012
0.04292500,0.012
0.04292600,0.013
0.04301185,0.01
0.04309771,0.013
0.04317649,0.03
0.04318356,0.013
0.04318861,0.026
0.04343606,0.045
0.04357139,0.326
0.04360775,0.024
0.04369663,0.011
0.04369764,0.082
0.04373299,0.76
0.04378552,0.074
0.04391580,0.077
0.04393399,1.912
0.04393499,1.768
0.04393600,1.27
0.04396833,1.35
0.04420365,0.01
0.04423799,0.299
0.04429860,0.014
0.04433294,0.01
0.04465323,0.07
