price,amount
0.04062366,1.023
0.04062267,0.206
0.04060682,1.101
0.04059000,2.065
0.04058901,1.546
0.04055336,0.057
0.04054842,0.474
0.04054743,1.0
0.04054643,0.056
0.04053456,10.0
0.04050882,0.013
0.04049594,0.01
0.04048110,0.564
0.04048011,0.028
0.04047912,2.5
0.04047318,0.036
0.04042763,0.076
0.04042169,0.02
0.04042070,0.554
0.04039298,10.0
0.04039200,0.05
0.04037219,0.79
0.04035437,0.776
0.04035338,0.02
0.04034645,0.013
0.04031676,0.777
0.04031577,0.038
0.04029300,0.208
0.04027121,0.046
0.04026527,0.026
0.04026230,0.01
0.04025934,3.8
0.04022963,0.042
0.04019796,0.576
0.04019399,0.04
0.04010787,0.047
0.04010687,0.012
0.04009500,0.3
0.04007322,0.046
0.03999599,0.014
0.03992967,0.5
0.03983562,1.0
0.03979899,0.276
0.03979799,0.045
0.03978612,2.5
0.03976731,0.02
0.03976334,0.012
0.03970097,0.01
0.03969899,13.194
0.03969603,2.0
0.03965939,0.54
0.03961485,0.01
0.03960989,0.203
0.03960000,8.603
0.03948119,5.952
