price,amount
0.02376226,2.5
0.02376529,2.5
0.02377539,0.504
0.02377640,2.5
0.02377843,0.504
0.02382287,1.392
0.02382388,0.287
0.02383599,1.878
0.02394609,0.2
0.02394709,1.0
0.02410566,0.2
0.02412990,0.1
0.02413193,0.2
0.02413394,0.2
0.02413496,0.2
0.02422990,0.2
0.02423191,0.2
0.02423595,2.4
0.02424000,0.302
0.02430969,0.1
0.02432383,20.023
0.02434099,0.2
0.02444199,0.2
0.02444301,24.027
0.02445109,0.1
0.02445412,0.2
0.02446725,0.262
0.02449553,0.2
0.02456117,27.966
0.02458137,0.524
0.02462076,0.2
0.02466420,0.2
0.02468035,16.121
0.02468338,15.953
0.02474398,4.892
0.02474500,5.61
0.02476115,0.2
0.02476318,0.2
0.02479852,35.946
0.02484600,3.124
0.02485609,0.5
0.02486418,0.506
0.02486619,0.2
0.02489649,0.2
0.02491670,0.72
0.02493690,0.746
0.02494699,0.862
0.02497830,1.804
0.02504799,4.33
0.02506819,0.2
0.02509850,18.16
0.02513688,8.3
0.02513889,0.2
0.02514899,1.0
0.02522979,0.1
0.02698087,1.124
0.03040000,1.023
