price,amount
0.02315611,0.578
0.02315610,1.407
0.02315511,0.649
0.02315411,0.202
0.02308779,1.767
0.02308680,0.291
0.02307788,0.778
0.02307690,1.12
0.02306798,1.0
0.02296799,6.0
0.02281851,0.1
0.02279078,0.2
0.02277989,0.2
0.02276999,0.92
0.02275217,0.153
0.02275119,0.44
0.02273138,0.153
0.02273040,0.2
0.02272743,0.127
0.02269575,0.107
0.02266407,2.766
0.02265218,5.0
0.02265120,0.1
0.02257200,0.207
0.02255318,0.2
0.02248884,2.0
0.02227599,0.2
0.02227499,10.0
0.02226509,0.2
0.02222451,2.476
0.02221560,2.479
0.02217599,1.378
0.02211165,2.971
0.02210076,2.975
0.02199383,6.934
0.02197800,3.946
0.02189978,3.959
0.02187900,1.168
0.02183346,3.982
0.02182950,0.2
0.02177999,14.198
0.02176911,5.26
0.02166912,2.236
0.02163150,0.2
0.02148300,1.54
0.02146320,11.078
0.02136618,0.2
0.02128499,18.064
0.02118599,0.604
0.02108699,0.2
0.02098800,1.0
0.02092761,1.476
0.02079000,16.128
0.02078901,0.1
0.02069099,10.64
0.02061180,1.0
0.02059992,0.2
0.02048310,18.61
0.02042765,4.242
0.02041379,0.5
0.01830171,3.3
