price,amount
0.00000013,14404.0
0.00000014,11198.0
0.00000015,22236.0
0.00000016,58500.0
0.00000017,58710.0
0.00000018,85285.0
0.00000019,75858.0
0.00000020,55170.0
0.00000021,94052.0
0.00000022,16311.0
0.00000024,140210.0
0.00000025,77076.0
0.00000026,110210.0
0.00000027,192125.0
0.00000028,150000.0
0.00000029,344624.0
0.00000030,965.0
0.00000031,370587.0
0.00000032,341898.0
0.00000034,214244.0
0.00000035,138958.0
0.00000036,520882.0
0.00000037,600001.0
0.00000039,418761.0
0.00000040,300000.0
0.00000041,50000.0
0.00000042,49900.0
0.00000045,59590.0
0.00000046,25820.0
0.00000047,185280.0
0.00000049,47548.0
0.00000050,94043.0
0.00000052,85872.0
0.00000053,599559.0
0.00000054,52805.0
0.00000055,25880.0
0.00000056,82152.0
0.00000057,8585.0
0.00000058,580258.0
0.00000059,58058.0
0.00000060,25880.0
0.00000061,63969.0
0.00000063,223675.0
0.00000064,85550.0
0.00000065,24255.0
0.00000067,10668.0
0.00000070,825021.0
0.00000071,58805.0
0.00000072,1000.0
0.00000073,12989.0
0.00000074,45500.0
0.00000078,39.0
0.00000080,1540100.0
0.00000081,21045.0
0.00000084,99.0
0.00000086,99.0
0.00000088,452.0
0.00000089,4299.0
0.00000090,25407.0
0.00000091,7215.0
0.00000092,32101.0
0.00000094,2501.0
0.00000095,25014.0
0.00000096,25250.0
0.00000097,2488.0
0.00000098,19018.0
0.00000099,7187.0
0.00000100,11628.0
0.00000101,3254.0
0.00000102,2534.0
0.00000103,5881.0
0.00000104,10100.0
0.00000105,2558.0
0.00000106,33214.0
0.00000107,5587.0
0.00000108,34850.0
0.00000109,8712.0
0.00000111,32710.0
0.00000112,2571.0
0.00000113,6578.0
0.00000114,35748.0
0.00000115,5452.0
0.00000116,21010.0
0.00000117,3405.0
0.00000118,25840.0
0.00000119,3581.0
0.00000121,20101.0
0.00000122,5101.0
0.00000123,55000.0
0.00000124,125.0
0.00000125,1201.0
0.00000126,30250.0
0.00000127,225.0
0.00000128,20012.0
0.00000129,22307.0
0.00000130,11450.0
0.00000131,5500.0
0.00000132,217.0
0.00000133,12101.0
0.00000135,15121.0
0.00000136,12622.0
0.00000137,25137.0
0.00000138,212.0
0.00000139,12701.0
0.00000140,22500.0
0.00000141,5250.0
0.00000142,20120.0
0.00000143,2534.0
0.00000144,21178.0
0.00000145,12580.0
0.00000146,2578.0
0.00000147,35879.0
0.00000148,14781.0
0.00000149,41265.0
0.00000150,1257.0
0.00000152,20147.0
0.00000153,2574.0
0.00000154,11021.0
0.00000155,33580.0
0.00000156,3214.0
0.00000157,21473.0
0.00000200,501000.0
0.00000240,1000.0
0.00000250,1388826.0
0.00000280,30004.0
0.00000300,1000000.0
0.00000360,400000.0
0.00000370,600.0
0.00000400,1000000.0
0.00000450,200000.0
0.00000460,300000.0
0.00000500,1000000.0
0.00000550,300000.0
0.00000600,870916.0
0.00000700,800000.0
0.00000780,1000000.0
0.00000800,445200.0
0.00000900,204541.0
0.00001100,541472.0
0.00001180,189330.0
0.00001300,245004.0
0.00002000,200000.0
0.00002500,479.0
0.00003000,304024.0
0.00006000,334480.0
0.00008000,500000.0
