price,amount
0.00000444,208563.0
0.00000500,1583.0
0.00000509,2350.0
0.00000510,196078.0
0.00000530,25389.32830188679
0.00000560,53555.0
0.00000615,1758.0
0.00000620,52112.0
0.00000633,157977.0
0.00000645,24682.0
0.00000646,12467.0
0.00000647,5000.0
0.00000648,20920.0
0.00000649,22574.0
0.00000650,54407.0
0.00000690,54544.0
0.00000711,500.0
0.00000712,38729.0
0.00000730,136886.0
0.00000747,66934.0
0.00000749,18023.0
0.00000750,79831.0
0.00000765,54544.0
0.00000770,129870.0
0.00000781,256081.0
0.00000798,277178.0
0.00000830,481826.0
0.00000860,348837.0
0.00000899,111133.0
0.00000900,22403.0
0.00000901,443850.0
0.00000939,11953.0
0.00000940,319046.0
0.00000950,105263.0
0.00000980,204081.0
0.00001020,347998.0
0.00001021,130538.0
0.00001069,110769.0
0.00001080,120012.0
0.00001105,452488.0
0.00001150,173786.0
0.00001250,16272.0
0.00001251,8977.0
0.00001259,317712.0
0.00001305,153256.0
0.00001318,448.0
0.00001320,21243.0
0.00001350,116861.0
0.00001400,38695.0
0.00001446,69156.0
0.00001546,32244.0
0.00001674,597371.0
0.00001732,32322.0
0.00001832,154432.0
0.00001920,42111.0
0.00002000,10157.0
0.00002046,97751.0
0.00002145,139860.0
0.00002245,133630.0
0.00002345,2121.0
0.00002432,3122.0
0.00002600,384615.0
0.00002800,71428.0
0.00002832,706214.0
0.00002929,10.0
0.00002973,5767.0
0.00002975,20.0
0.00002976,1521.0
0.00002977,5480.0
0.00002978,5879.0
0.00002980,67114.0
0.00003000,24376.0
0.00003150,24544.0
0.00003385,5422.0
0.00003450,3424.0
0.00003500,50000.0
0.00003555,544444.0
0.00003650,34545.0
0.00004000,30409.0
0.00005000,300.0
0.00006000,550000.0
0.00007000,40000.0
0.00008000,62599.0
0.00009880,3509.0
0.00015000,255454.0
0.00016000,54242.0
0.00016600,10000.0
0.00017000,35454.0
0.00017800,10000.0
0.00018500,10000.0
0.00020000,11431.0
0.00050000,25138.0
0.00100000,10000.0
0.01000000,1000.0
0.51000000,600.0
