price,amount
0.00000355,182902.0
0.00000354,56497.0
0.00000345,41982.0
0.00000304,123965.0
0.00000300,300.0
0.00000295,95577.0
0.00000269,57943.0
0.00000268,24753.0
0.00000222,22222.0
0.00000200,5000.0
0.00000190,5000.0
0.00000180,5439343.0
0.00000111,900900.0
0.00000032,34324.0
0.00000031,34211.0
0.00000030,24211.0
0.00000020,1542111.0
0.00000019,24443.0
0.00000018,54547.0
0.00000017,21214.0
0.00000016,21211.0
0.00000015,242424.0
0.00000010,10123121.0
0.00000008,12500000.0
0.00000007,18571428.0
0.00000006,21323222.0
0.00000005,1002121.0
