price,amount
0.00000012,1315.0
0.00000013,2677.0
0.00000015,29184.0
0.00000016,6705.0
0.00000017,6951.0
0.00000018,2781.0
0.00000019,10011.0
0.00000020,5130.0
0.00000021,114200.0
0.00000022,24537.0
0.00000030,48800.0
0.00000072,5143.0
0.00000075,2313.0
0.00000076,100104.0
0.00000100,500.0
0.00000180,50000.0
0.00000200,50000.0
0.00000241,10000.0
0.00000300,159.0
0.00000396,900.0
0.00000400,9375.0
0.00000401,400.0
0.00000408,1000.0
0.00000500,9375.0
0.00000550,9375.0
0.00000580,9375.0
0.00001263,1603.0
0.00014200,2.0
0.00450000,100.0
12.00000000,120.0
