price,amount
1.67159,5000.0
1.68570,5000.0
1.69877,5844.0
1.69880,469.0
1.70000,20764.0
1.70098,1862.0
1.70133,956.0
1.70208,2377.0
1.70240,3605.0
1.70360,1050.0
1.70392,3220.0
1.70470,5580.0
1.70473,3597.0
1.70476,8148.3
1.70478,5112.0
1.70480,7000.0
1.70526,5000.0
1.70527,15076.0
1.70532,2000.0
1.70535,2000.0
1.70536,3236.0
1.70633,1252.0
1.70648,782.0
1.70713,1008.0
1.70751,2000.0
1.70752,2351.5776611694155
1.70754,1210.0
1.70759,800.0
1.71410,1000.0
1.72748,3433.1
1.73800,2500.0
1.73899,6197.55
1.74000,5990.04
1.74700,5000.0
1.75000,10000.0
1.80000,589.5
1.81593,3848.0
1.81599,3567.0
1.86000,10309.0
1.88000,10.0
1.90000,9469.3
1.93000,10.0
1.94000,306.1
1.95000,2960.0
1.96000,3555.243025510204
1.97990,64.4
1.98000,1697.5
1.99000,8000.0
1.99855,22.8
2.00000,41405.1
2.04999,8814.0
2.05000,10000.0
2.10000,10000.0
2.15000,8395.0
2.20000,20000.0
2.22222,2000.0
2.25000,8000.0
2.36000,7800.0
2.46000,10000.0
2.48888,5000.0
2.50000,48281.92850666666
2.55000,800.0
2.60000,7000.0
2.63120,500.0
2.76000,100.0
2.80000,70.1
2.90000,218.4
3.00000,12000.0
3.20000,8640.6
3.66600,888.0
3.75000,1000.0
5.00000,4386.4
6.66000,666.0
10.00000,1000.0
11.30000,300.0
15.00000,1010.0
17.00000,10.0
20.00000,10.0
