price,amount
1.66047,301.1
1.64738,1213.0
1.64737,1214.0
1.64420,3436.0
1.64416,5000.0
1.64415,5000.0
1.64413,12.4
1.64412,10038.3
1.64154,33.4
1.64111,244.2
1.64100,8652.0
1.63360,15000.0
1.63359,2680.0
1.63350,6750.9
1.63278,20.3
1.63150,1547.6
1.62860,4000.0
1.62858,50.0
1.62833,50.0
1.62137,1852.0
1.62106,1600.0
1.62098,3500.0
1.62087,4300.0
1.62073,3341.7
1.62047,2687.0
1.61996,3628.0
1.61980,1387.0
1.61976,1326.0
1.61896,1380.0
1.61887,1656.0
1.61878,1536.0
1.61866,1358.0
1.61852,2300.0
1.61841,2186.0
1.61825,1687.0
1.61816,3200.0
1.61806,1653.0
1.61800,2100.0
1.61791,1350.0
1.61786,2478.0
1.61778,2360.0
1.61755,1686.0
1.61751,1080.0
1.61745,2386.0
1.61743,536.0
1.61740,1500.0
1.61736,3276.0
1.61730,1300.0
1.61723,2650.0
1.61711,683.0
1.61683,800.0
1.61536,698.0
1.61532,2228.6
1.61527,3508.0
1.61517,2386.9
1.61505,1356.4
1.61498,1763.0
1.61486,2380.0
1.61461,1687.3
1.61397,2130.0
1.61393,3200.0
1.61339,6000.0
1.61240,3521.0
1.61001,1657.0
1.61000,3229.8
1.60387,6588.0
1.60300,403615.7
1.60100,28935.6
1.60063,8659.0
1.60056,3560.0
1.60022,18000.0
1.60012,6249.5
1.60001,9374.9
1.60000,84516.0
1.59872,2549.0
1.59679,6500.0
1.53015,8931.7
1.35450,1505.0
0.00002,53832.0
