price,amount
0.00223236,5000.0
0.00223345,150.74
0.00223390,951.22
0.00224069,2296.52
0.00224070,783.0
0.00224190,53.0
0.00224980,438.0
0.00225000,10000.0
0.00225100,457.4
0.00226820,89.0
0.00228470,158.0
0.00231000,5704.0
0.00233000,189.28
0.00236005,11.0
0.00258000,5448.31
0.00316000,9587.0
0.00350000,500.0
0.00600000,1699.54
0.00690000,3000.0
0.00790000,2000.0
0.01410000,1000.0
0.01790000,1000.0
0.02190550,826.19
0.02290550,619.64
0.02800000,451.54
0.04100000,2869.02
