price,amount
0.00217106,93.28
0.00217100,2382.69
0.00217008,2582.6
0.00217006,17.52
0.00217002,19.51
0.00217000,5000.0
0.00216000,2000.0
0.00215278,25.73
0.00215000,3000.0
0.00214736,10.0
0.00207170,365.0
0.00207157,24.98
0.00207150,325.0
0.00207100,630.0
0.00206870,273.0
0.00206852,14.77
0.00206810,43.0
0.00205900,211.0
0.00205000,24.87
0.00203718,152.0
0.00203710,236.0
0.00203707,256.0
0.00203705,1336.0
0.00203690,47.0
0.00203680,3712.0
0.00203640,32.0
0.00203630,172.0
0.00203610,2992.0
0.00203570,257.0
0.00203520,1952.0
0.00195000,29243.42
0.00000083,6974746021.25
0.00000081,4764641314.93
