price,amount
26565.16,24.1612
26566.49,0.0025
26567.81,0.1056
26579.09,0.0276
26604.29,0.015
26604.96,0.01
26605.62,0.025
26606.28,0.01
26609.60,0.018
26610.26,0.035
26610.93,0.0116
26611.59,0.0039
26614.24,0.2081
26614.91,0.0116
26616.23,0.015
26616.90,0.0102
26618.22,0.0639
26618.89,0.11
26621.54,0.0074
26622.73,0.0671
26627.51,0.015
26628.84,0.1
26633.48,0.0325
26634.14,0.015
26636.00,0.0056
26637.33,0.0522
26638.79,0.3317
26639.32,0.001
26640.11,0.0336
26641.44,0.3053
26642.17,0.0681
26645.09,0.0055
26646.75,0.0469
26647.41,0.1245
26650.73,0.0747
26650.99,0.1494
26651.26,0.0747
26653.31,0.01
26653.38,0.1
26653.64,0.02
26654.51,0.005
26654.64,0.0499
26654.71,0.025
26655.37,0.1082
26656.56,0.02
26657.09,0.02
26659.41,0.0299
26659.48,0.001
26660.41,0.0179
26660.61,0.015
26661.54,0.3
26662.73,0.2
26663.99,0.1168
26664.39,0.01
26664.66,0.9779
26665.38,0.001
26665.78,0.299
26667.77,0.0509
26671.55,0.002
26672.08,0.0297
26676.40,0.001
26677.26,0.001
26677.32,0.011
26677.66,0.001
26677.85,0.0052
26677.92,0.001
26679.25,0.04
26679.98,0.001
26680.11,0.0013
26680.91,0.001
26681.10,0.008
26682.23,0.01
26682.56,0.0011
26684.42,0.0249
26685.28,0.1
26688.93,0.0295
26689.26,0.0043
26689.93,0.005
26692.78,0.001
26693.31,0.002
28255.66,0.0041
29000.00,0.4704
30119.00,1.0
45199.99,0.2228
45200.00,0.1145
48100.00,0.06
48522.00,0.0017
