price,amount
26500.00,0.1
26400.00,0.1
26355.14,0.0014
26351.40,0.001
26350.74,0.0049
26348.83,0.017
26345.42,0.051
26344.63,0.001
26341.55,0.0448
26339.05,0.01
26338.98,0.0299
26336.95,0.0139
26335.57,0.0299
26334.32,0.1146
26333.67,0.6981
26333.53,0.0027
26333.01,0.002
26331.83,0.0509
26331.43,0.0179
26328.35,0.001
26327.23,0.05
26327.10,0.019
26321.71,0.0249
26320.53,0.7258
26319.15,0.5
26318.63,0.0216
26318.43,0.05
26316.79,0.0321
26316.53,0.0398
26316.33,0.0049
26315.28,0.2988
26315.21,0.2988
26314.88,0.01
26313.77,0.0271
26313.57,0.01
26313.11,0.0134
26309.24,0.2
26308.84,0.0189
26308.78,0.0083
26308.71,0.0049
26307.07,0.0188
26304.05,0.1
26303.98,0.0249
26303.92,0.02
26303.19,0.0153
26302.54,0.001
26301.55,0.0158
26301.09,0.0968
26300.90,0.01
26300.83,0.4749
26300.17,0.9346
26300.00,0.1
26299.52,0.1
26298.86,0.0025
26298.20,0.001
26297.74,0.0285
26296.63,0.1495
26296.23,0.0105
26295.71,0.002
26295.38,0.001
26294.99,0.0071
26292.29,0.25
26291.64,0.15
26289.67,0.001
26289.01,0.0524
26287.70,0.0144
26286.38,0.0192
26284.41,0.001
26283.76,0.001
26283.10,0.005
26281.13,0.05
26279.82,0.0051
26279.16,0.005
26275.88,0.16
26275.22,0.0025
26274.56,0.05
26271.94,0.0566
26271.28,0.055
26268.65,0.04
26268.00,0.2034
26266.02,0.0085
26200.00,0.1
26100.00,0.1
26000.00,0.1
25900.00,0.1
25800.00,0.1
25700.00,0.1
25600.00,0.1
25500.00,0.1
20000.00,0.0021
500.00,1.0
0.10,14.75
0.01,148.0
