price,amount
4039.28,0.055
4039.29,0.0303
4039.32,0.0469
4039.34,0.001
4039.37,0.001
4039.54,0.005
4039.89,0.0021
4039.93,0.001
4039.99,0.1265
4040.02,0.005
4040.10,0.025
4040.16,0.002
4040.53,0.0011
4040.87,0.0517
4041.03,0.001
4041.05,0.0401
4041.16,0.001
4041.94,0.001
4042.00,0.005
4042.11,0.0118
4042.49,0.0044
4042.73,0.001
4043.07,0.0656
4043.08,0.02
4043.09,0.1144
4043.11,0.1899
4043.16,0.001
4043.17,0.0373
4043.48,0.0025
4043.52,0.001
4043.53,0.0179
4043.58,0.001
4043.61,0.0204
4043.64,0.004
4043.71,0.017
4043.92,0.001
4044.19,0.0089
4044.50,0.0299
4044.51,0.0188
4044.52,0.02
4044.69,0.1119
4044.85,0.0536
4044.92,0.0179
4045.10,0.02
4045.15,0.001
4045.22,0.0187
4045.32,0.0425
4045.40,0.2
4045.42,0.0015
4045.45,0.0248
4045.62,0.0025
4045.68,0.005
4045.82,0.01
4045.85,0.0398
4046.02,0.03
4046.13,0.0031
4046.16,0.002
4046.33,0.2499
4046.44,0.002
4046.73,0.0399
4047.14,0.3
4047.33,0.2
4047.46,0.3
4047.61,0.001
4047.63,0.001
4048.60,0.0043
4048.61,0.1316
4048.62,2.8698
4048.67,0.0118
4048.69,1.0
4048.75,0.025
4048.81,0.002
4048.88,1.0
4048.91,0.0121
4048.94,0.02
4049.14,0.0642
4049.34,0.15
4049.39,0.001
4049.52,0.2
4049.54,0.2574
4049.94,0.0632
4050.15,0.01
4050.45,0.0671
4050.54,0.001
4051.52,0.048
4051.59,0.113
4051.67,0.0651
4051.72,0.002
4051.95,0.0248
4052.16,0.001
4052.37,0.0025
4052.66,0.001
4052.95,0.0047
4053.10,0.16
4053.49,0.001
4053.60,0.0015
4053.80,0.3
4053.81,0.027
4054.22,0.0299
4054.38,0.0406
