price,amount
4001.00,0.1001
3999.60,0.0545
3999.30,0.0324
3999.10,0.043
3999.00,0.1086
3997.91,0.0325
3997.74,0.002
3997.41,0.1
3997.39,0.001
3997.33,0.001
3997.11,0.0308
3997.05,0.01
3996.91,0.02
3996.41,0.0616
3996.21,0.01
3995.42,0.0274
3995.25,0.007
3995.18,0.0059
3995.17,0.0299
3995.12,0.0198
3995.11,0.0049
3995.06,0.0089
3994.91,0.0299
3994.58,0.0367
3994.57,0.01
3994.37,0.031
3994.36,0.0036
3994.23,0.001
3994.12,0.002
3994.02,0.0579
3993.99,0.0691
3993.86,0.002
3993.85,0.0485
3993.73,0.0205
3993.67,0.005
3993.63,0.0036
3993.57,0.0018
3993.55,0.0456
3993.53,0.0274
3993.35,0.0085
3993.24,0.0012
3993.23,0.0591
3993.22,0.0537
3993.17,0.0442
3993.03,1.76
3992.98,0.0398
3992.93,0.0049
3992.78,0.02
3992.71,0.005
3992.68,0.0107
3992.63,0.015
3992.53,0.312
3992.34,0.0089
3992.32,0.001
3991.94,0.455
3991.84,0.001
3991.75,0.1147
3991.74,0.15
3991.73,0.0968
3991.69,0.01
3991.64,0.002
3991.53,0.2
3991.44,0.1
3991.12,0.1
3991.05,0.0373
3991.01,0.01
3990.50,0.1
3990.47,0.001
3990.46,0.1493
3990.41,0.2
3990.24,0.0036
3990.21,0.0055
3990.18,0.001
3990.11,0.0111
3989.95,0.005
3989.94,0.011
3989.85,0.0644
3989.45,0.0537
3989.43,0.062
3989.28,0.001
3989.27,0.0772
3988.78,0.0504
3988.47,0.001
3988.46,0.0548
3988.45,0.205
3988.33,0.001
3988.02,0.0541
3988.00,0.7665
3987.70,0.0962
3987.69,0.002
3986.85,0.02
3986.62,0.01
3986.18,0.3
3986.16,0.0248
3986.03,0.0243
3985.97,0.0954
3985.95,0.0801
3985.93,0.0248
3985.91,0.0116
3985.31,0.0204
3984.28,0.001
3983.97,0.01
3983.94,0.0498
3983.67,0.01
3983.60,0.0299
3982.64,0.0299
3981.80,0.0299
3981.77,0.0299
3981.69,0.0299
3981.57,0.0499
3981.44,0.08
3981.21,0.0015
1.62,1.0006
0.01,0.0001
