price,amount
0.00002455,203.11
0.00002456,5.5
0.00002461,7.2
0.00002462,266.61
0.00002463,110.33
0.00002465,89.5
0.00002466,303.32
0.00002474,165.9
0.00002475,1458.12
0.00002479,395.95
0.00002480,24.5
0.00002482,499.0
0.00002485,1.0
0.00002489,2500.0
0.00002494,508.79
0.00002499,94.24
0.00002504,150.0
0.00002507,57.36
0.00002526,200.0
0.00002570,200.0
0.00002605,100.0
0.00002608,6.66
0.00002609,17.39
0.00002644,2056.41
0.00002646,100.0
0.00002648,140.04
0.00002676,567.74
0.00002687,44.46
0.00002690,892.43
0.00002697,5.0
0.00002700,91.1
0.00002713,20.0
0.00002766,10.75
0.00002791,2000.0
0.00002809,34.44
0.00002811,394.52
0.00002841,154.34
0.00002861,2.0
0.00002877,500.0
0.00002879,584.11
0.00002911,91.64
0.00002921,2480.55
0.00002936,105.58
0.00002954,451.64
0.00002961,112.24
0.00002971,30.49
0.00002997,47.15
0.00003010,53.88
0.00003012,1041.45
0.00003035,2.68
0.00003062,444.72
0.00003067,50.0
0.00003162,22.39
0.00003182,107.27
0.00003212,24.94
0.00003249,2862.52
0.00003262,45.3
0.00003304,803.42
0.00003313,874.51
0.00003325,58.8
0.00003346,18.41
0.00003352,200.0
0.00003373,300.0
0.00003377,431.09
0.00003378,173.7
0.00003412,9.0
0.00003413,1856.96
0.00003464,751.73
0.00003483,100.0
0.00003502,1384.9
0.00003513,1247.74
0.00003542,268.3
0.00003549,89.82
0.00003601,100.0
0.00003604,32.01
0.00003614,189.45
0.00003660,1.23
0.00003664,206.8
0.00003674,99.8
0.00003680,104.37
0.00003687,715.8
0.00003701,129.0
0.00003702,14.09
0.00003710,58.7
0.00003713,6.3
0.00003714,8.51
0.00003715,248.4
0.00003720,10.0
0.00003750,66.04
0.00003759,15.42
0.00003764,155.0
0.00003778,122.3
0.00003783,46.28
0.00003788,2.0
0.00003803,49.53
0.00003815,3714.77
0.00003818,49.53
0.00003857,156.76
0.00003865,150.0
0.00003872,5.0
0.00003881,266.27
0.00003895,60.1
0.00010000,2572.14
0.00010001,825.61
0.00012500,75.2
