price,amount
0.00002434,150.75
0.00002433,24.5
0.00002430,198.28
0.00002429,174.83
0.00002426,447.12
0.00002424,366.85
0.00002423,41.0
0.00002420,212.67
0.00002417,25.0
0.00002416,166.68
0.00002415,500.0
0.00002410,211.36
0.00002406,1310.52
0.00002404,165.95
0.00002402,1659.4
0.00002401,1000.0
0.00002391,500.0
0.00002390,390.0
0.00002388,20.84
0.00002378,300.0
0.00002369,1659.4
0.00002355,1.0
0.00002354,94.12
0.00002353,79.86
0.00002350,1000.0
0.00002335,309.53
0.00002332,441.57
0.00002330,600.0
0.00002325,25.0
0.00002303,15.0
0.00002302,218.08
0.00002290,473.52
0.00002278,111.08
0.00002269,5.0
0.00002256,2.5
0.00002250,5.0
0.00002211,255.88
0.00002201,10.0
0.00002192,100.0
0.00002191,157.5
0.00002166,5.0
0.00002157,5.0
0.00002149,5.2
0.00002146,35.0
0.00002137,1328.53
0.00002113,2.0
0.00002091,389.88
0.00002071,49.4
0.00002041,251.28
0.00002040,6651.99
0.00002009,17.0
0.00002006,11765.08
0.00002001,5.34
0.00001992,3173.33
0.00001980,55.19
0.00001892,58.2
0.00001872,50.0
0.00001846,34.0
0.00001845,2.0
0.00001812,5.05
0.00001807,6648.43
0.00001793,150.0
0.00001792,20.0
0.00001693,2.5
0.00001661,50.0
0.00001593,248.6
0.00001581,4.32
0.00001543,10.0
0.00001513,1.0
0.00001494,276.49
0.00001394,25.0
0.00001294,50.0
0.00001215,41.25
0.00001195,3.0
0.00000996,1344.36
0.00000577,219.46
0.00000572,1.0
0.00000498,2500.0
0.00000363,50.0
0.00000355,5.0
0.00000328,1650.0
0.00000317,2.0
0.00000308,20.0
0.00000298,4.7
0.00000254,50.0
0.00000156,500.0
0.00000119,15.0
0.00000101,5.0
0.00000088,25.0
0.00000086,15.0
0.00000079,530.85
0.00000067,10.0
0.00000045,100.0
0.00000039,125.0
0.00000029,33.3
0.00000024,604.13
0.00000023,200.0
0.00000020,100.0
0.00000014,100000.0
0.00000012,2000.0
0.00000011,550.0
0.00000010,1000.0
0.00000007,8000.0
0.00000005,500.0
