price,amount
0.00087108,102.9
0.00087109,1463.78
0.00087110,41.2
0.00087111,897.34
0.00087133,55.64
0.00087147,119.8
0.00087149,6.0
0.00087150,10.5
0.00087197,25.0
0.00087247,123.2
0.00087345,51.85
0.00087348,74.95
0.00087372,18.2
0.00087495,51.85
0.00087496,44.5
0.00087498,12.5
0.00087644,250.01
0.00087649,25.0
0.00087657,2.0
0.00087698,123.8
0.00087799,256.21
0.00087809,1.0
0.00087819,2.0
0.00087829,1.0
0.00087839,2.0
0.00087850,1.0
0.00087860,1.0
0.00087870,2.0
0.00087880,1.0
0.00087890,2.0
0.00087900,2.0
0.00087910,1.0
0.00087920,1.0
0.00087930,1.0
0.00087940,1.0
0.00087950,12.5
0.00087960,1.0
0.00087970,2.0
0.00087980,1.0
0.00087990,2.0
0.00088000,1.0
0.00088010,1.0
0.00088020,1.0
0.00088030,1.0
0.00088040,1.0
0.00088050,1.0
0.00088060,1.0
0.00088070,2.0
0.00088080,2.0
0.00088090,1.0
0.00088101,12.5
0.00088111,1.0
0.00088115,59.54
0.00088121,1.0
0.00088125,97.44
0.00088131,2.0
0.00088141,1.0
0.00088151,1.0
0.00088161,1.0
0.00088171,1.0
0.00088181,2.0
0.00088191,1.0
0.00088201,1.0
0.00088211,1.0
0.00088221,1.0
0.00088231,2.0
0.00088241,2.0
0.00088251,12.5
0.00088261,1.0
0.00088271,1.0
0.00088281,2.0
0.00088291,1.0
0.00088301,1.0
0.00088311,1.0
0.00088321,1.0
0.00088331,2.0
0.00088341,1.0
0.00088352,114.5
0.00088362,1.0
0.00088372,1.0
0.00088382,1.0
0.00088392,1.0
0.00088402,26.2
0.00088412,1.0
0.00088422,2.0
0.00088432,1.0
0.00088442,1.0
0.00088452,2.0
0.00088462,2.0
0.00088472,2.0
0.00088482,2.0
0.00088492,1.0
0.00088502,2.0
0.00088512,1.0
0.00088522,1.0
0.00088532,1.0
0.00088542,2.0
0.00088552,25.0
0.00088562,2.0
0.00088572,2.0
0.00088582,2.0
0.00088592,1.0
