price,amount
0.00086777,10.88
0.00086702,33.43
0.00086054,12.5
0.00085950,6.0
0.00085949,81.42
0.00085905,6.0
0.00085904,12.5
0.00085756,128.11
0.00085755,25.0
0.00085607,215.28
0.00085606,12.5
0.00085596,1.0
0.00085586,2.0
0.00085576,1.0
0.00085566,1.0
0.00085556,2.0
0.00085546,2.0
0.00085536,1.0
0.00085526,1.0
0.00085516,1.0
0.00085506,1.0
0.00085496,2.0
0.00085486,1.0
0.00085476,2.0
0.00085466,2.0
0.00085456,25.0
0.00085446,2.0
0.00085436,1.0
0.00085426,1.0
0.00085416,2.0
0.00085406,1.0
0.00085397,2.0
0.00085387,2.0
0.00085377,1.0
0.00085367,2.0
0.00085357,1.0
0.00085347,2.0
0.00085337,2.0
0.00085327,1.0
0.00085317,2.0
0.00085307,12.5
0.00085297,2.0
0.00085287,1.0
0.00085278,103.8
0.00085277,1.0
0.00085267,2.0
0.00085257,1.0
0.00085247,1.0
0.00085237,1.0
0.00085228,1.0
0.00085227,2.0
0.00085217,1.0
0.00085207,1.0
0.00085197,1.0
0.00085187,2.0
0.00085177,1.0
0.00085167,2.0
0.00085157,7.96
0.00085148,1.0
0.00085138,1.0
0.00085128,1.0
0.00085118,1.0
0.00085108,1.0
0.00085098,2.0
0.00085088,2.0
0.00085078,2.0
0.00085068,2.0
0.00085059,41.2
0.00085058,1.0
0.00085049,20.6
0.00085048,1.0
0.00085038,1.0
0.00085028,1.0
0.00085018,1.0
0.00085008,12.5
0.00084998,1.0
0.00084988,1.0
0.00084978,1.0
0.00084968,1.0
0.00084958,2.0
0.00084948,518.8
0.00084938,1.0
0.00084928,1.0
0.00084921,17.34
0.00084918,2.0
0.00084908,1.0
0.00084899,2.0
0.00084889,1.0
0.00084879,2.0
0.00084869,1.0
0.00084859,12.5
0.00084849,2.0
0.00084839,2.0
0.00084837,28.95
0.00084829,1.0
0.00084819,2.0
0.00084809,2.0
0.00084799,2.0
0.00084789,1.0
0.00084779,2.0
0.00084769,2.0
0.00084759,2.0
0.00084749,1.0
0.00084739,1.0
0.00084729,1.0
0.00074900,10.0
0.00060000,1000.0
0.00000100,0.01
