price,amount
0.00001220,600.0
0.00001224,21.73
0.00001225,300.0
0.00001227,600.0
0.00001231,75.0
0.00001233,575.0
0.00001234,388.15
0.00001253,200.0
0.00001255,134.16
0.00001257,47.18
0.00001260,61.5
0.00001261,500.0
0.00001262,841.78
0.00001266,35.73
0.00001271,1928.52
0.00001286,15.94
0.00001298,56.6
0.00001315,255.38
0.00001316,2.0
0.00001327,107.36
0.00001343,3806.98
0.00001347,117.74
0.00001353,28.6
0.00001354,28.8
0.00001375,1907.88
0.00001376,1432.2
0.00001377,536.59
0.00001378,804.88
0.00001379,1207.32
0.00001380,606.58
0.00001381,603.66
0.00001385,814.74
0.00001386,2.96
0.00001393,2.86
0.00001400,1.47
0.00001413,2.9
0.00001427,2.86
0.00001435,871.9
0.00001436,2.0
0.00001440,2.84
0.00001448,28.56
0.00001456,2.82
0.00001460,28.55
0.00001471,2.78
0.00001475,376.61
0.00001483,46.0
0.00001484,559.92
0.00001486,2.74
0.00001496,2.0
0.00001501,2.72
0.00001506,442.7
0.00001507,2.0
0.00001515,885.02
0.00001526,373.19
0.00001531,2.66
0.00001557,2.0
0.00001561,369.36
0.00001567,2.0
0.00001580,47.0
0.00001610,2.54
0.00001624,834.24
0.00001626,2.0
0.00001627,2.0
0.00001634,10.24
0.00001656,25.0
0.00001667,23.32
0.00001674,2.46
0.00001675,1.84
0.00001686,21350.02
0.00001687,2.0
0.00001690,3.4
0.00001694,15000.0
0.00001696,28.2
0.00001698,1.21
0.00001705,8.8
0.00001707,2.32
0.00001714,2.38
0.00001715,2.0
0.00001731,2.36
0.00001734,3.5
0.00001736,26.68
0.00001746,2.0
0.00001747,2.34
0.00001751,6.22
0.00001762,28.2
0.00001763,14.2
0.00001775,5.2
0.00001784,3597.94
0.00001787,2670.14
0.00001807,2.0
0.00001809,28.7
0.00001810,158.86
0.00001821,2.22
0.00001827,5674.83
0.00001835,2.2
0.00001856,50.0
0.00001857,249.6
0.00001867,2.0
0.00001882,28.3
0.00001890,2.14
0.00001907,586.62
0.00001922,1.06
0.00001927,1.0
0.00001937,7.86
0.00003700,5.99
0.00013600,15.03
