price,amount
0.00001204,47.39
0.00001203,743.41
0.00001201,360.0
0.00001200,697.67
0.00001197,360.0
0.00001196,704.4
0.00001194,703.44
0.00001188,839.0
0.00001185,2297.98
0.00001182,75.0
0.00001181,150.0
0.00001179,5348.36
0.00001176,34.7
0.00001175,521.52
0.00001170,300.0
0.00001169,160.7
0.00001167,4355.9
0.00001166,124.0
0.00001160,300.0
0.00001159,204.1
0.00001157,103.22
0.00001156,32.56
0.00001153,25.0
0.00001149,2693.6
0.00001148,970.46
0.00001146,32.86
0.00001145,14.35
0.00001144,49.9
0.00001140,30.0
0.00001134,200.0
0.00001133,1000.0
0.00001131,3591.47
0.00001130,782.76
0.00001129,3.42
0.00001127,2.0
0.00001125,60.0
0.00001124,3.44
0.00001113,9141.99
0.00001112,200.0
0.00001107,2345.6
0.00001103,1.75
0.00001098,155.04
0.00001095,12672.68
0.00001075,1205.18
0.00001025,1.0
0.00001016,2323.1
0.00001003,1200.0
0.00001000,2.0
0.00000996,1320.58
0.00000896,22302.1
0.00000856,2.0
0.00000826,2.0
0.00000547,5.0
0.00000498,7.32
0.00000450,2518.14
0.00000319,70000.0
0.00000298,100.0
0.00000159,96.79
0.00000129,47.56
0.00000088,50.0
0.00000045,440.94
0.00000041,425.0
0.00000027,1000.0
0.00000022,1366.92
0.00000018,45.5
0.00000010,1384.82
0.00000009,500.0
0.00000007,500.0
0.00000003,11000.0
0.00000002,119835.0
0.00000001,71500.0
