price,amount
0.00043215,150.0
0.00043216,16.82
0.00043434,324.72
0.00043450,4.79
0.00043557,27.2
0.00043570,88.72
0.00043612,7.5
0.00043613,962.41
0.00043687,300.0
0.00045047,250.0
0.00045238,43.52
0.00045832,139.12
0.00047476,1.0
0.00047946,2.0
0.00048190,29.0
0.00048192,4288.14
0.00048410,30.42
0.00048418,1.0
0.00048424,1.0
0.00048614,4.65
0.00049058,19.2
0.00049068,9.9
0.00049315,5.1
0.00049325,9.65
0.00049394,31.04
0.00049706,1.0
0.00049715,31.61
0.00049723,5.0
0.00049888,5.05
0.00050099,878.34
0.00050200,19.99
0.00050250,36.46
0.00050275,1.76
0.00050464,4.6
0.00050624,1.0
0.00051252,1.0
0.00051645,9.5
0.00052055,2.0
0.00052147,78.16
0.00052440,14.45
0.00052561,1.0
0.00052768,841.47
0.00052918,4.95
0.00053061,1262.2
0.00053064,1.0
0.00053065,45.23
0.00053087,631.1
0.00053372,1.0
0.00053582,4.65
0.00053894,2.0
0.00054115,9.5
0.00054171,78.36
0.00054268,1.0
0.00054307,1.0
0.00054610,1.0
0.00054617,68.53
0.00054982,2.0
0.00055220,234.06
0.00055509,46.33
0.00055709,44.81
0.00056142,1.0
0.00056185,22.65
0.00056724,39.56
0.00057072,1.0
0.00057448,2.0
0.00057973,2.0
0.00057975,1.0
0.00057977,1.0
0.00058227,10.98
0.00058232,1.64
0.00058686,25.0
0.00059074,2.0
0.00059076,2.0
0.00059236,69.9
0.00060139,187.36
0.00060239,147.16
0.00060413,2.3
0.00061553,1.0
0.00061555,2.0
0.00061668,30.06
0.00061782,9.0
0.00061866,172.82
0.00062247,26.21
0.00063486,2.18
0.00064701,366.48
0.00066263,1289.28
0.00066634,24.95
0.00066926,1.0
0.00066932,125.0
0.00069000,35.0
0.00070279,3.01
0.00072087,170.51
0.00080180,300.0
0.00095355,376.68
0.00100400,14.85
0.00111555,2.38
0.00159636,12.47
0.00180719,99.8
0.00186744,49.9
0.00199580,199.6
0.00200800,1.0
0.00288000,16.56
0.00301200,1.0
