price,amount
0.00042617,23.82
0.00042601,23.8
0.00042512,1171.42
0.00042511,37.5
0.00042409,165.78
0.00042369,9.8
0.00042338,9.5
0.00042091,150.0
0.00041991,553.2
0.00041978,569.77
0.00041962,569.31
0.00041877,495.6
0.00041760,100.0
0.00041759,75.0
0.00041757,1500.32
0.00041728,5.21
0.00041710,1.8
0.00041699,12.67
0.00041562,100.0
0.00041561,75.0
0.00041560,4.95
0.00041540,50.35
0.00041338,1139.55
0.00041324,1138.62
0.00040823,100.0
0.00040822,60.61
0.00040744,134.36
0.00040699,1566.75
0.00040072,2211.02
0.00040060,1591.75
0.00040000,1500.0
0.00039685,1.0
0.00039485,2.0
0.00039427,393.31
0.00039157,1.0
0.00038843,75.0
0.00038792,262.42
0.00038345,21.07
0.00038129,234.7
0.00037819,2.0
0.00037728,1.0
0.00037517,602.98
0.00037327,2.0
0.00037199,1.0
0.00037054,1.0
0.00036851,5.0
0.00036742,20.08
0.00036526,1.0
0.00036448,1.0
0.00036160,1.0
0.00035922,1.0
0.00035856,5.0
0.00035594,63.63
0.00035558,1.0
0.00035488,1.0
0.00035337,1.0
0.00035000,37.0
0.00034959,2.16
0.00034859,5.0
0.00034793,1.0
0.00034551,1.0
0.00034239,1.0
0.00033888,1.0
0.00033884,47.28
0.00033864,50.0
0.00033280,1.0
0.00033278,1.0
0.00033231,2.0
0.00033204,2.0
0.00033202,1.0
0.00033154,2.0
0.00033117,72.0
0.00033072,2.0
0.00033070,2.0
0.00032993,1.0
0.00032846,2.0
0.00032809,1.0
0.00032746,2.0
0.00032550,1.0
0.00032548,1.0
0.00032160,2.0
0.00032112,1.0
0.00032082,1.0
0.00032025,90.0
0.00031955,1057.04
0.00031757,1.0
0.00031755,2.0
0.00031638,1.0
0.00031636,2.0
0.00031526,2.0
0.00031483,1.0
0.00031481,1.0
0.00030587,7.5
0.00030541,1.0
0.00030377,1.0
0.00030349,2.0
0.00030236,2.0
0.00030127,1.0
0.00029949,1.0
0.00027887,21.0
0.00027076,1.0
0.00026892,4.17
0.00025398,6584.34
0.00017928,2.0
0.00010956,1.5
0.00010159,60.0
0.00007569,2.5
0.00005862,75.25
