price,amount
0.00126706,32.14
0.00126707,42.06
0.00126713,5.66
0.00130299,38.44
0.00133885,67.87
0.00137472,80.4
0.00141058,62.0
0.00144644,56.51
0.00148230,96.79
0.00151816,15.16
0.00155403,15.11
0.00158989,17.37
0.00159000,737.94
0.00160434,23.91
0.00160658,697.95
0.00160662,10.66
0.00160666,10.62
0.00160668,10.62
0.00160670,10.71
0.00160689,52.92
0.00160720,337.81
0.00161059,30.0
0.00161110,5.27
0.00161329,558.89
0.00161429,1947.09
0.00161705,7.72
0.00161706,3.81
0.00161707,3.84
0.00161937,385.12
0.00161939,800.88
0.00161942,1577.98
0.00161983,280.17
0.00161985,280.18
0.00162690,100.03
0.00162693,100.07
0.00162749,14.92
0.00162750,14.85
0.00162753,15.85
0.00162756,14.85
0.00162757,1.06
0.00162758,1.05
0.00162863,263.47
0.00162875,20.09
0.00162958,1.04
0.00162960,1.02
0.00162962,1.08
0.00162966,1.03
0.00163024,17.29
0.00163052,5.92
0.00163058,5.94
0.00163163,10.03
0.00163165,10.07
0.00163207,789.37
0.00163208,492.43
0.00163270,10.02
0.00163272,10.08
0.00163330,125.47
0.00163374,10.08
0.00163377,10.04
0.00163472,10.06
0.00163481,10.06
0.00163577,10.01
0.00163578,10.05
0.00163688,10.09
0.00163691,10.07
0.00163738,6.49
0.00163739,6.49
0.00163740,6.42
0.00163743,6.44
0.00163803,1.05
0.00163806,1.04
0.00163807,1.06
0.00163808,1.02
0.00163927,7.07
0.00163930,7.09
0.00163931,7.12
0.00163935,7.04
0.00164176,1.06
0.00164181,2.15
0.00164183,1.01
0.00164559,1.01
0.00164562,2.06
0.00164563,1.07
0.00164668,13.47
0.00164746,1.07
0.00164748,1.03
0.00164749,1.07
0.00164752,1.07
0.00164802,2.07
0.00164804,1.06
0.00165155,901.66
0.00165297,70.03
0.00165298,70.05
0.00165414,5.35
0.00165417,5.35
0.00165422,5.3
0.00165433,185.53
0.00165844,267.98
0.00165848,267.97
0.00165904,71.01
0.00165905,71.01
0.00165906,71.06
0.00165908,71.03
0.00165981,5.29
0.00166282,117.56
0.00166284,117.5
0.00166285,235.07
0.00166365,402.28
0.00166531,16.95
0.00166532,16.88
0.00166538,33.86
0.00166743,28.01
0.00166749,28.06
0.00166952,70.43
0.00166956,70.35
0.00166957,70.38
0.00166959,70.44
0.00167056,16.94
0.00167057,16.9
0.00167064,16.89
0.00167229,180.38
0.00167232,90.19
0.00167235,90.16
0.00167475,20.09
0.00167482,10.0
0.00167644,26.37
0.00167646,52.67
0.00167647,26.38
0.00167650,52.82
0.00167655,52.82
0.00167656,26.35
0.00167657,26.41
0.00167658,26.38
0.00167864,7.57
0.00167869,7.53
0.00167870,7.57
0.00167872,7.53
0.00168002,35.35
0.00168006,35.41
0.00168007,35.37
0.00168008,70.65
0.00169509,1.43
0.00169511,1.4
0.00169512,1.43
0.00169517,1.4
0.00170009,90.16
0.00170015,90.25
0.00170159,7.09
0.00170160,7.09
0.00170162,7.04
