price,amount
0.00005232,189.3
0.00004983,78.55
0.00004964,15.97
0.00004797,28.11
0.00004789,637.11
0.00004699,20.97
0.00004488,141.71
0.00004461,46.2
0.00004422,5.41
0.00004339,210.0
0.00004257,72.33
0.00004184,141.0
0.00004178,359.02
0.00004143,48.27
0.00004137,603.0
0.00004054,20.42
0.00003900,1783.0
0.00003340,408.0
0.00002883,55.79
0.00001920,274.0
0.00001535,10.0
0.00001534,83.0
0.00001340,432.0
0.00000890,10.0
0.00000880,10.0
0.00000870,10.0
0.00000860,20.0
0.00000850,10.0
0.00000830,10.0
0.00000820,10.0
0.00000688,56.81
0.00000687,43.66
0.00000670,10.0
0.00000647,234.0
0.00000643,1426.0
0.00000003,76.66
0.00000002,20.0
0.00000001,11998.25
