price,amount
0.00190484,105.75
0.00191510,20.48
0.00192009,37.91
0.00192569,34.74
0.00193655,26.93
0.00193713,52.94
0.00196601,137.93
0.00196854,282.29
0.00200000,15.0
0.00310000,10.0
0.00420000,64.0
0.00610000,34.0
0.00620000,342.0
0.00630000,34.0
0.00700000,13.0
0.00800000,34.0
0.00900000,23.0
0.01000000,10.0
0.02000000,10.0
0.03000000,10.0
0.04000000,10.0
0.05000000,130.0
0.11000000,63.0
0.12000000,84.0
0.15000000,73.0
0.30000000,100.0
0.33000000,23.0
0.50000000,163.0
1.00000000,100.0
2.00000000,20.0
