price,amount
0.00185341,244.59
0.00185340,241.81
0.00185017,17.57
0.00183696,27.55
0.00175901,27.53
0.00170543,0.05
0.00164016,32.87
0.00160129,44.27
0.00160000,432.12
0.00154444,162.65
0.00151618,32.26
0.00150758,49.12
0.00150527,110.9
0.00147599,211.83
0.00147563,231.0
0.00147419,284.0
0.00147329,25.07
0.00146659,46.97
0.00146454,24.69
0.00145000,10.0
0.00120000,313.73
0.00119999,0.91
0.00098000,16.0
0.00095000,32.0
0.00091000,23.0
0.00090000,123.0
0.00086000,143.0
0.00032000,7333.0
0.00031010,500.0
0.00030000,293.0
0.00022000,1003.0
0.00000020,500000.0
0.00000013,1538461.53
0.00000011,1818181.81
0.00000008,375000.0
0.00000007,285714.28
0.00000006,1666666.66
0.00000005,200000.0
0.00000004,7500000.0
0.00000002,5000000.0
0.00000001,10000000.0
