price,amount
0.00000185,534683.0
0.00000190,2500000.0
0.00000196,2316645.0
0.00000198,500.0
0.00000200,795581.0
0.00000202,4301.0
0.00000203,12377.0
0.00000204,7866.0
0.00000205,4566.0
0.00000206,555.0
0.00000208,4567.0
0.00000209,1234.0
0.00000210,1000.0
0.00000211,1231.0
0.00000212,1000.0
0.00000213,1000.0
0.00000214,10000.0
0.00000215,10000.0
0.00000222,8000.0
0.00000225,10000.0
0.00000235,3000.0
0.00000236,5666.0
0.00000237,6666.0
0.00000238,7899.0
0.00000239,13244.0
0.00000246,4566.0
0.00000250,1666.0
0.00000252,4566.0
