price,amount
0.00000175,104475.0
0.00000167,8048.0
0.00000166,200.0
0.00000164,114024.0
0.00000163,184543.0
0.00000162,20000.0
0.00000160,11474.0
0.00000152,4555.0
0.00000151,4567.0
0.00000150,1237.0
0.00000149,6421.0
0.00000148,5344.0
0.00000147,1237.0
0.00000146,7857.0
0.00000145,7857.0
0.00000144,7278.0
0.00000143,3783.0
0.00000142,1237.0
0.00000141,3733.0
0.00000140,7817380.0
0.00000139,4537.0
0.00000138,12806.0
0.00000137,12377.0
0.00000136,23177.0
0.00000135,2137.0
0.00000134,2347.0
0.00000133,2783.0
0.00000132,2783.0
0.00000131,4357.0
0.00000130,4222841.0
0.00000120,2283356.0
0.00000110,1242994.0
0.00000100,683646.0
