price,amount
0.00000016,36977.0
0.00000017,25108.0
0.00000018,890000.0
0.00000019,8583.0
0.00000023,27029.0
0.00000026,178815.0
0.00000027,200000.0
0.00000028,17713.0
0.00000029,441563.0
0.00000031,106451.0
0.00000032,78000.0
0.00000035,5714.0
0.00000040,15000.0
0.00000048,18000.0
0.00000050,34000.0
0.00000053,12300.0
0.00000055,3600.0
0.00000057,60000.0
0.00000058,33000.0
0.00000059,10000.0
0.00000060,56000.0
0.00000065,50000.0
0.00000066,300000.0
0.00000070,100000.0
0.00000073,120000.0
0.00000075,150000.0
0.00000080,130000.0
