price,amount
0.00000529,100000.0
0.00000530,327.0
0.00000540,40000.0
0.00000550,55000.0
0.00000570,12000.0
0.00000580,8080.0
0.00000583,8383.0
0.00000589,9981.0
0.00000590,50000.0
0.00000596,9696.0
0.00000600,6060.0
0.00000606,100000.0
0.00000620,50000.0
0.00000636,54945.0
0.00000640,36000.0
0.00000650,2341.0
0.00000770,1001.0
0.00000786,73894.0
0.00000816,73894.0
0.00000820,32000.0
0.00000840,58000.0
0.00000848,30000.0
0.00000850,150000.0
0.00000878,8000.0
0.00000880,28910.0
0.00000900,40138.0
0.00000999,10000.0
0.00001000,23437.0
0.00001100,33000.0
0.00001200,25000.0
0.00001300,15000.0
0.00001500,97578.0
0.00001700,20000.0
0.00001800,750000.0
0.00001850,833783.0
0.00001870,250000.0
0.00001880,250000.0
0.00001900,310000.0
0.00001910,250000.0
0.00002000,2076367.0
0.00002060,1000000.0
0.00002090,1000000.0
0.00002100,1023809.0
0.00002200,1060000.0
0.00002300,652173.0
0.00002400,750000.0
0.00002500,776368.0
0.00002700,370370.0
0.00002800,357142.0
0.00002900,750000.0
0.00003000,4200000.0
0.00004000,100000.0
0.00005000,375000.0
0.00006000,280000.0
0.00007000,2000000.0
0.00008000,200000.0
0.00010000,375000.0
0.00100000,500000.0
