price,amount
0.00000490,30352.0
0.00000489,8989.0
0.00000480,8080.0
0.00000470,12000.0
0.00000460,20000.0
0.00000450,33000.0
0.00000440,30500.0
0.00000430,5000.0
0.00000428,45000.0
0.00000426,30064.0
0.00000425,1712.0
0.00000421,1711.0
0.00000420,20000.0
0.00000416,30000.0
0.00000414,30000.0
0.00000410,123770.0
0.00000406,300000.0
0.00000390,51285.0
0.00000389,200000.0
0.00000388,300000.0
0.00000385,800.0
0.00000384,200000.0
0.00000382,200000.0
0.00000380,200000.0
0.00000365,1800.0
0.00000360,2400.0
0.00000355,600000.0
0.00000350,1200.0
0.00000344,6000.0
0.00000340,5000.0
0.00000338,800.0
0.00000336,2200.0
0.00000334,1500.0
0.00000330,9000.0
0.00000320,200000.0
0.00000310,200000.0
0.00000300,800000.0
0.00000285,1544561.0
0.00000250,10000.0
0.00000240,20000.0
0.00000216,238891.0
0.00000200,50000.0
0.00000112,200000.0
0.00000110,200000.0
0.00000100,200000.0
0.00000080,2000000.0
0.00000060,3000000.0
0.00000050,2000000.0
0.00000005,500000.0
0.00000004,5000000.0
0.00000003,50000000.0
0.00000002,100000000.0
