price,amount
0.00015000,8.0
0.00015500,10.0
0.00016700,316.0
0.00017080,299.6251106301106
0.00017093,3.17
0.00017099,24.48
0.00017111,49.86
0.00017124,30.2
0.00017146,40.56
0.00017189,40.81
0.00017276,46.51
0.00017449,32.45
0.00017796,24.63
0.00017799,68.34
0.00017805,42.33
0.00017818,38.16
0.00017844,65.25
0.00017896,102.6
0.00017898,92.14
0.00017901,39.38
0.00017908,54.64
0.00017921,94.98
0.00017973,116.51
0.00018114,36.06
0.00018229,24.5
0.00019516,5.3
0.00019768,22.07
0.00020272,73.57
0.00020522,4.41
0.00021212,36.85
0.00021481,10.89
0.00021494,20.79
0.00021500,10.75
0.00021634,10.73
0.00021636,9.93
0.00021655,10.78
0.00021667,10.32
0.00021908,10.5
0.00021917,10.63
0.00021918,9.75
0.00021932,10.27
0.00021987,9.11
0.00022208,10.43
0.00022235,10.28
0.00022246,9.5
0.00022334,9.45
0.00022338,9.55
0.00022342,10.22
0.00022343,10.97
0.00022362,9.98
0.00022691,9.01
0.00022748,9.74
0.00022759,9.33
0.00022768,9.88
0.00022771,10.34
0.00022792,10.02
0.00022834,10.0
0.00022838,10.18
0.00023045,10.84
0.00023184,9.14
0.00023194,9.37
0.00023198,10.28
0.00023224,9.79
0.00023289,10.64
0.00023398,10.55
0.00023422,9.5
0.00023430,10.32
0.00023609,9.22
0.00023623,10.32
0.00023632,10.08
0.00023649,9.2
0.00023830,10.97
0.00024014,9.42
0.00024023,10.11
0.00024034,10.39
0.00024048,9.87
0.00024070,10.8
0.00024072,9.3
0.00024104,10.77
0.00024370,10.35
0.00024457,19.21
0.00024473,9.42
0.00024498,10.91
0.00024508,9.53
0.00024606,9.98
0.00024614,10.09
0.00024814,10.94
0.00024911,9.71
0.00024923,9.69
0.00024955,9.32
0.00025178,9.54
0.00025198,9.59
0.00025207,10.44
0.00025307,10.31
0.00025325,9.03
0.00025348,9.08
0.00025384,10.99
0.00025451,10.02
0.00025535,9.91
0.00025749,9.61
0.00025774,10.42
0.00025800,10.02
0.00025809,10.5
0.00025897,9.54
0.00025993,10.13
0.00026180,10.71
0.00026199,9.21
0.00026234,9.95
0.00026392,9.77
0.00026608,10.84
0.00026624,9.82
0.00026659,9.53
0.00026985,9.13
0.00027038,9.44
0.00027049,9.43
0.00027074,9.01
0.00027084,10.78
0.00027471,9.06
0.00027472,10.17
0.00027510,9.59
0.00027570,10.46
0.00027889,10.73
0.00027905,9.79
0.00027936,10.32
0.00028157,9.67
0.00028745,9.46
