price,amount
0.00000019,627.0
0.00000020,1250.0
0.00000028,1596.0
0.00000030,500.0
0.00000032,409.0
0.00000035,100.0
0.00000042,752.0
0.00000045,200.0
0.00000046,150.0
0.00000097,300.0
0.00000120,150.0
0.00000135,170.0
0.00000136,299.0
0.00000222,50.0
0.00000228,9.13
0.00000261,100.0
0.00000263,100.0
0.00000266,200.0
0.00000299,8.51
0.00000389,170.0
0.00000390,3631.12
0.00000450,100.0
0.00000500,51.0
0.00000505,50.0
0.00000602,699.3
0.00001135,100.0
0.00002200,348.0
0.00002246,679.99
0.00002500,1000.0
0.00002598,59.0
0.00003000,10000.0
0.00003500,23460.0
0.00011263,50.0
