price,amount
0.00000840,5241.0
0.00000844,671.0
0.00000960,1020.0
0.00001220,2461.0
0.00001279,150.0
0.00001280,2006.0
0.00001282,3105.0
0.00001288,100.0
0.00001325,50.0
0.00002071,1525.0
0.00003506,100.0
0.00005547,1280.0
0.00005555,50.0
0.00006113,50.0
0.00006217,50.0
0.00006673,81.51
0.00006676,50.0
0.00006677,200.0
0.00006800,3795.37
0.00009265,150.0
0.00009921,288.18
0.00009963,50.0
0.00009998,19664.0
0.00010000,340.0
0.00010677,4765.0
0.00011111,200.0
0.00011121,48946.0
0.00011140,200.0
0.00011902,860.39
0.00012250,500.0
0.00013400,200.0
0.00013450,50.0
0.00013500,3570.0
0.00013699,50.0
0.00013883,50.0
0.00013885,50.0
0.00014600,200.0
0.00014989,50.0
0.00019900,10000.0
0.00025000,11049.57
0.00050000,5000.0
0.00062000,29612.57
0.00063900,2355.0
0.00064002,50550.0
0.00065847,10000.0
0.00088000,780.0
0.00090000,3500.0
0.00094000,1400.0
0.00095800,890.0
0.00095847,10000.0
0.00095848,400.0
0.00130000,1500.0
0.00166010,50.0
0.00246000,194.0
