price,amount
0.00070714,18.38
0.00070715,3.0
0.00070720,1.2
0.00070721,1.0
0.00070722,13.79
0.00070723,4.36
0.00070729,10.0
0.00070730,14.21
0.00070731,3.4
0.00070734,9.71
0.00070737,1.0
0.00070738,1.36
0.00070739,3.0
0.00070743,10.85
0.00070746,16.5
0.00070749,7.62
0.00070750,1.44
0.00070751,1.16
0.00070752,3.0
0.00070753,18.11
0.00070754,10.0
0.00070757,14.27
0.00070760,4.07
0.00070762,10.0
0.00070764,12.78
0.00070765,3.0
0.00070770,1.89
0.00070772,15.19
0.00070773,155.78
0.00070776,11.89
0.00070784,3.0
0.00070787,9.5
0.00070790,28.39
0.00070791,119.2
0.00070794,32.19
0.00070796,113.18
0.00070798,14.2
0.00070800,70.99
0.00070801,28.41
0.00070807,28.4
0.00070809,14.2
0.00070811,27.17
0.00070815,3.0
0.00070822,1.0
0.00070823,170.42
0.00070825,4.07
0.00070830,9.2
0.00070831,170.52
0.00070845,4.1
0.00070846,28.4
0.00070847,45.41
0.00070848,84.5
0.00070849,113.2
0.00070857,35.76
0.00070875,14.2
0.00070878,1.0
0.00070879,56.8
0.00070880,70.0
0.00070882,9.0
0.00070889,19.5
0.00070890,33.32
0.00070892,113.62
0.00070894,1.0
0.00070897,30.0
0.00070899,28.4
0.00070900,71.0
0.00070902,113.55
0.00070911,225.76
0.00070912,28.4
0.00070917,113.98
0.00070920,112.86
0.00070930,7.42
0.00070934,9.0
0.00070940,40.12
0.00070947,56.44
0.00070956,14.45
0.00070966,1.0
0.00070967,1.0
0.00070968,112.86
0.00070971,38.57
0.00070984,1.14
0.00070992,3.0
0.00070998,39.99
0.00071007,126.47
0.00071017,112.88
0.00071031,112.88
0.00071044,109.86
0.00071048,1.14
0.00071049,113.14
0.00071057,56.57
0.00071059,113.14
0.00071061,243.02
0.00071063,113.14
0.00071066,210.0
0.00071073,1.0
0.00071075,113.16
0.00071081,148.14
0.00071082,111.68
0.00071084,112.88
0.00071085,111.68
0.00071092,113.14
0.00071093,111.68
0.00071097,55.84
0.00071100,462.26
0.00071101,55.84
0.00071106,56.57
0.00071107,55.84
0.00071119,410.72
0.00071150,11.0
0.00071196,1.0
0.00071202,1.0
0.00071212,14.4
0.00074415,168.54
0.00083919,18.17
0.00172766,0.35
