price,amount
0.00070111,8.67
0.00070106,4.65
0.00070104,1.0
0.00070103,1.0
0.00070102,2.13
0.00070101,3.18
0.00070100,1.27
0.00070091,2.0
0.00070090,3.0
0.00070086,3.0
0.00070079,50.41
0.00070078,3.0
0.00070075,85.07
0.00070074,12.0
0.00070072,10.99
0.00070069,54.79
0.00070068,31.53
0.00070064,28.39
0.00070063,14.19
0.00070061,10.0
0.00070059,93.48
0.00070058,42.6
0.00070057,4.5
0.00070054,54.96
0.00070053,4.5
0.00070049,65.62
0.00070047,12.78
0.00070046,14.2
0.00070042,7.62
0.00070040,12.69
0.00070038,24.76
0.00070037,22.87
0.00070035,14.19
0.00070030,3.0
0.00070028,82.21
0.00070027,2.0
0.00070023,51.73
0.00070019,14.2
0.00070018,28.37
0.00070017,9.2
0.00070016,1.0
0.00070015,70.0
0.00070013,136.8
0.00070011,3.0
0.00070007,113.61
0.00070006,1.83
0.00070005,113.59
0.00070000,1.1
0.00069992,1.0
0.00069991,32.08
0.00069982,1.0
0.00069981,1.0
0.00069980,1.0
0.00069978,57.94
0.00069973,1.0
0.00069972,34.24
0.00069971,14.2
0.00069970,1.1
0.00069969,9.5
0.00069964,1.3
0.00069963,1.15
0.00069960,85.25
0.00069959,37.71
0.00069958,28.4
0.00069956,4.01
0.00069939,40.83
0.00069937,1.0
0.00069936,1.0
0.00069930,113.55
0.00069923,54.96
0.00069920,1.0
0.00069910,113.67
0.00069904,2.4
0.00069903,200.0
0.00069901,1.0
0.00069900,2.0
0.00069899,2.0
0.00069896,4.42
0.00069888,34.07
0.00069883,1.0
0.00069882,6.74
0.00069875,65.0
0.00069872,28.88
0.00069870,111.66
0.00069858,4.12
0.00069849,19.5
0.00069835,210.0
0.00069834,88.38
0.00069828,19.49
0.00069825,7.86
0.00069822,1.17
0.00069809,60.94
0.00069808,112.76
0.00069804,164.77
0.00069803,111.76
0.00069785,111.74
0.00069780,40.01
0.00069779,111.72
0.00069767,111.76
0.00069759,28.3
0.00069757,111.7
0.00069756,55.85
0.00069751,55.86
0.00069737,111.74
0.00069736,111.74
0.00069727,1.0
0.00069725,114.74
0.00069724,111.74
0.00069723,55.87
0.00069719,417.49
0.00069708,55.87
0.00069693,55.86
0.00069688,55.88
0.00069687,55.87
0.00069685,55.88
0.00069680,55.87
0.00069679,549.42
0.00069676,55.88
0.00069672,55.86
0.00069670,55.86
0.00063380,51.39
0.00050000,0.35
0.00015084,0.99
0.00010000,44.55
0.00000120,425.16
0.00000001,3150.0
