price,amount
0.02507858,27.29
0.02508853,1.42
0.02508854,42.66
0.02508864,71.12
0.02508984,1.0
0.02508995,4.0
0.02509517,13.54
0.02509520,22.2
0.02509530,28.44
0.02509531,84.0
0.02509540,19.8
0.02509541,10.67
0.02510000,1.0
0.02510024,1.0
0.02510138,2.95
0.02510389,4.96
0.02510495,12.79
0.02510496,2.64
0.02510690,14.22
0.02510691,1.0
0.02510808,4.71
0.02511404,2.04
0.02511932,17.68
0.02512117,14.21
0.02512229,7.5
0.02512309,3.81
0.02512434,35.37
0.02512509,4.0
0.02512618,5.6
0.02512641,4.02
0.02513012,7.63
0.02513870,38.99
0.02513904,28.44
0.02513915,22.91
0.02514215,3.93
0.02514802,11.0
0.02514846,1.0
0.02515018,1.0
0.02515030,1.0
0.02515166,4.02
0.02515238,3.0
0.02515251,3.0
0.02516023,4.0
0.02517027,1.0
0.02517238,1.0
0.02517691,4.01
0.02519000,1.0
0.02519537,4.0
0.02520040,1.0
0.02520072,10.0
0.02520217,4.01
0.02520375,1.0
0.02522742,4.07
0.02523051,4.0
0.02523155,1.0
0.02524205,10.02
0.02524862,1.0
0.02525059,1.0
0.02525267,4.05
0.02525867,111.24
0.02525868,2.0
0.02526062,1.0
0.02526064,4.64
0.02526565,4.0
0.02527309,1.0
0.02527792,4.05
0.02529803,1.0
0.02529804,92.12
0.02529910,1000.0
0.02530080,4.0
0.02530320,4.03
0.02530360,12.44
0.02531248,4.01
0.02531464,1.0
0.02537543,556.2
0.02537544,20.51
0.02539394,18.55
0.02546812,540.02
0.02547421,2.0
0.02547805,25.12
0.02551557,52.02
0.02555180,2.16
0.02555570,2.0
0.02556538,2.0
0.02559545,466.44
0.02567228,1.08
0.02572952,2.0
0.02577035,1.0
0.02580681,1.0
0.02583615,2.0
0.02584433,2.0
0.02586534,2.0
0.02586843,2.0
0.02588121,2.0
0.02588411,2.0
0.02588723,1.0
0.02589112,1.0
0.02589539,2.0
0.02592021,1.0
0.02593850,2.0
0.02594338,1.0
0.02597848,1.0
0.02598670,2.0
0.02613013,1.0
0.03000000,1.5
0.03439999,24.29
0.10000000,25.87
0.25843700,0.59
1.00003000,1.0
