price,amount
0.02494000,1.01
0.02484688,14.52
0.02484687,9.99
0.02483688,42.66
0.02483483,1.06
0.02483418,6.29
0.02483417,6.11
0.02483416,5.11
0.02483347,3.2
0.02483336,12.79
0.02483227,20.0
0.02483169,71.06
0.02483168,28.42
0.02482841,17.7
0.02482443,1.0
0.02481706,38.99
0.02480879,7.5
0.02480836,17.68
0.02480471,35.36
0.02480077,14.21
0.02479973,13.2
0.02479471,1.0
0.02479111,10.0
0.02479035,28.43
0.02478546,4.0
0.02478420,1.0
0.02478347,4.65
0.02478321,1.0
0.02477896,1.0
0.02477628,1.0
0.02475981,10.01
0.02475678,6.33
0.02475677,6.5
0.02475675,1.0
0.02475670,19.7
0.02475668,6.5
0.02475666,2.0
0.02475060,4.5
0.02474516,55.62
0.02474515,12.76
0.02474510,1.0
0.02474200,1.0
0.02472708,4.04
0.02471574,4.0
0.02470814,71.81
0.02470530,1.0
0.02470213,4.04
0.02470163,1.0
0.02470079,1.0
0.02470076,2.0
0.02468435,5.51
0.02468098,19.8
0.02468088,1000.0
0.02468087,4.06
0.02467762,4.17
0.02467718,4.05
0.02467557,1.0
0.02467092,1.0
0.02466735,9.83
0.02466178,9.0
0.02466168,3.71
0.02465223,4.05
0.02464601,4.0
0.02464542,1.0
0.02462738,8.9
0.02462728,4.07
0.02461919,108.19
0.02461115,4.0
0.02461113,4.56
0.02460242,27.5
0.02460232,4.07
0.02460119,1.0
0.02459484,556.2
0.02458831,4.01
0.02457787,1.0
0.02457737,4.06
0.02457629,4.0
0.02456775,1.0
0.02455243,7.7
0.02453108,1.86
0.02451241,2.39
0.02451156,1.0
0.02450847,5.65
0.02450846,5.86
0.02449687,7.01
0.02446233,9.23
0.02444844,2.0
0.02442868,1.71
0.02442867,287.3
0.02434224,150.16
0.02433017,2.0
0.02430240,35.34
0.02426864,1112.4
0.02425420,11.75
0.02425260,6.48
0.02423308,2.0
0.02422614,2.0
0.02421589,12.97
0.02420280,18.0
0.02415300,6.0
0.02412810,8.46
0.02412312,2.0
0.02410320,3.0
0.02400360,3.0
0.02400000,7.53
0.02399876,1.0
0.02396881,1.0
0.02395878,10.93
0.01500000,0.16
0.01400000,10.0
0.01000000,0.19
0.00800000,29.57
