price,amount
2.8548,3.23
2.8554,35.89
2.8560,0.2
2.8562,71.78
2.8566,21.32
2.8572,197.99
2.8575,6.82
2.8576,1.6
2.8578,5.0
2.8579,10.61
2.8581,95.94
2.8583,39.56
2.8584,35.98
2.8585,2.75
2.8586,71.8
2.8587,0.57
2.8593,94.96
2.8595,10.61
2.8596,5.0
2.8597,21.72
2.8599,175.0
2.8603,35.36
2.8610,39.51
2.8612,0.3
2.8614,24.5
2.8616,30.0
2.8620,71.81
2.8624,71.78
2.8625,1.36
2.8630,8.83
2.8636,17.67
2.8637,0.65
2.8638,30.0
2.8640,2.5
2.8642,7.11
2.8644,1.0
2.8651,28.44
2.8652,1.0
2.8656,3.94
2.8661,17.69
2.8669,0.25
2.8670,50.18
2.8671,5.0
2.8680,32.5
2.8681,0.2
2.8682,0.1
2.8683,12.23
2.8689,0.42
2.8694,4.05
2.8707,0.2
2.8715,17.67
2.8724,0.2
2.8733,0.2
2.8734,120.33
2.8740,0.15
2.8748,0.15
2.8754,0.3
2.8755,285.88
2.8759,5.79
2.8772,5.28
2.8783,0.1
2.8785,0.61
2.8788,50.0
2.8801,223.74
2.8833,0.1
2.8835,15.14
2.8845,500.0
2.8847,8.85
3.0000,1.2
