price,amount
2.7981,10.0
2.7977,102.52
2.7971,19.77
2.7968,21.32
2.7961,0.21
2.7960,10.0
2.7959,15.0
2.7958,6.82
2.7955,45.43
2.7954,28.29
2.7953,5.0
2.7952,4.5
2.7951,46.28
2.7946,21.51
2.7945,5.0
2.7944,1.0
2.7943,17.66
2.7942,63.85
2.7941,75.61
2.7940,70.67
2.7938,30.5
2.7935,15.0
2.7933,0.59
2.7932,56.88
2.7930,6.82
2.7929,0.5
2.7923,1.26
2.7922,15.77
2.7920,26.51
2.7917,0.2
2.7916,3.33
2.7915,36.51
2.7913,57.5
2.7910,0.2
2.7909,2.5
2.7902,2.5
2.7897,3.54
2.7893,55.0
2.7891,0.15
2.7890,7.1
2.7886,14.21
2.7885,0.3
2.7884,107.65
2.7876,10.0
2.7875,0.3
2.7873,32.5
2.7861,68.4
2.7859,0.1
2.7857,0.3
2.7855,77.97
2.7853,3.75
2.7851,0.1
2.7849,71.84
2.7841,35.93
2.7838,0.1
2.7834,0.2
2.7833,71.73
2.7832,3.75
2.7823,5.0
2.7821,0.22
2.7819,71.97
2.7817,23.77
2.7815,0.2
2.7810,50.0
2.7807,1.18
2.7799,15.84
2.7784,6.5
2.7779,26.76
2.7776,7.36
1.0000,411.75
0.1000,23133.0
0.0300,2366.0
0.0200,183.94
0.0001,8497.8
