price,amount
0.00125901,12.88
0.00125952,7.01
0.00125953,0.194
0.00125981,0.1
0.00125982,0.1
0.00125984,0.351
0.00125986,0.537
0.00125991,0.2
0.00126002,151.099
0.00126035,0.1
0.00126038,0.145
0.00126052,0.392
0.00126102,179.855
0.00126137,14.999
0.00126138,0.395
0.00126156,0.29
0.00126202,47.653
0.00126300,0.18
0.00126301,48.324
0.00126303,256.951
0.00126346,0.1
0.00126347,0.1
0.00126382,80.649
0.00126403,422.446
0.00126504,106.792
0.00126523,2.5
0.00126604,96.444
0.00126704,287.29
0.00126778,483.24
0.00126805,90.84
0.00126905,234.0
0.00127006,1158.12
0.00127031,323.149
0.00127106,140.772
0.00127141,3.679
0.00127317,0.193
0.00127407,14.233
0.00127571,0.42
0.00127635,0.287
0.00127708,9.447
0.00127809,70.07
0.00128010,11.44
0.00128081,0.384
0.00128110,13.302
0.00128210,0.2
0.00128311,33.52
0.00128344,0.462
0.00128467,241.62
0.00128512,483.215
0.00128813,0.3
0.00129013,338.816
0.00129014,0.1
0.00129315,1.48
0.00129415,7.274
0.00129515,0.1
0.00129616,0.1
0.00129727,105.701
0.00129817,0.15
0.00129917,0.2
0.00130218,1.5
0.00130319,4.778
0.00130419,0.2
0.00130518,0.65
0.00130519,155.101
0.00130520,386.002
0.00131122,15.0
0.00132025,54.896
0.00132327,0.1
0.00132527,0.934
0.00132528,0.22
0.00132628,0.3
0.00132984,0.55
0.00133431,0.675
0.00133532,6.738
0.00133833,18.37
0.00133836,0.1
0.00134536,0.3
0.00134837,0.2
0.00135043,1.25
0.00135138,0.9
0.00135540,4.8
0.00135561,37.932
0.00136042,22.5
0.00136142,0.1
0.00136343,1.5
0.00136443,0.15
0.00136744,5.538
0.00137045,0.1
0.00137447,0.825
0.00137547,0.9
0.00137548,0.5
0.00139455,0.1
0.00140313,0.1
0.00141463,0.675
0.00250000,1.0
0.00253893,0.03
0.00282675,0.13
0.00300000,0.19
0.00332465,0.05
