price,amount
0.00124798,37.827
0.00124699,55.323
0.00124676,6.302
0.00124675,0.1
0.00124672,0.1
0.00124666,0.1
0.00124657,3.569
0.00124599,23.067
0.00124509,0.18
0.00124508,11.865
0.00124500,302.026
0.00124404,21.415
0.00124401,13.207
0.00124400,48.41
0.00124365,0.174
0.00124346,3.121
0.00124345,2.5
0.00124301,0.215
0.00124300,249.705
0.00124201,95.808
0.00124184,0.152
0.00124120,0.29
0.00124101,150.641
0.00124073,15.0
0.00124072,0.144
0.00124018,48.324
0.00124017,0.371
0.00124002,2.662
0.00123935,0.256
0.00123902,149.992
0.00123803,0.1
0.00123765,483.24
0.00123703,24.251
0.00123659,8.046
0.00123631,0.633
0.00123603,655.6
0.00123505,3.012
0.00123452,17.32
0.00123411,0.21
0.00123404,1.369
0.00123397,0.8
0.00123321,2.558
0.00123293,0.927
0.00123205,4.132
0.00123131,1.0
0.00123105,1.053
0.00123005,234.0
0.00122933,0.1
0.00122806,13.913
0.00122423,0.488
0.00121882,241.62
0.00121810,579.06
0.00121511,12.198
0.00121113,1.5
0.00121018,3.967
0.00120814,15.0
0.00120711,0.1
0.00120673,144.972
0.00120615,0.154
0.00119652,96.648
0.00119539,0.12
0.00119519,47.2
0.00119420,24.669
0.00119329,96.648
0.00118822,1.438
0.00118723,60.0
0.00118721,0.48
0.00118699,0.48
0.00118623,2.37
0.00118598,4.199
0.00118524,6.12
0.00118225,30.631
0.00117926,1.449
0.00117627,0.393
0.00117586,23.219
0.00117564,23.219
0.00117528,1.454
0.00117030,30.0
0.00116830,1.463
0.00116731,1.464
0.00116332,1.469
0.00115934,2.948
0.00115834,1.475
0.00115635,0.15
0.00115536,2.959
0.00115336,2.964
0.00115137,2.968
0.00114938,2.974
0.00114639,6.568
0.00114440,113.618
0.00114241,1.496
0.00114141,1.497
0.00114041,45.0
0.00113942,1.5
0.00113842,1.501
0.00113743,3.005
0.00113643,3.008
0.00003181,0.01
0.00000002,1571.0
