price,amount
5.0538,4.0
5.0564,3.0
5.0574,4.0
5.0576,4.0
5.0605,28.1
5.0606,4.0
5.0617,3.5
5.0627,3.46
5.0637,11.93
5.0639,11.92
5.0641,1.76
5.0646,2.38
5.0649,0.59
5.0662,0.37
5.0667,5.0
5.0671,0.6
5.0679,3.5
5.0682,119.34
5.0684,11.81
5.0686,3.6
5.0712,1.8
5.0713,3.5
5.0718,0.46
5.0723,0.81
5.0730,3.5
5.0737,0.37
5.0746,0.28
5.0747,0.1
5.0751,179.04
5.0752,10.0
5.0760,0.8
5.0762,0.39
5.0771,10.0
5.0777,30.0
5.0778,4.31
5.0779,5.0
5.0780,10.0
5.0784,20.6
5.0842,60.0
5.0843,0.23
5.0896,618.79
5.0912,4.31
5.0914,11.0
5.0916,618.79
5.0932,600.0
5.0950,0.1
5.0952,8.62
5.0963,48.41
5.0972,30.46
5.0987,48.49
5.0990,1.5
5.0995,41.0
5.1003,59.8
5.1013,11.26
5.1017,0.12
5.1026,4.31
5.1041,0.4
5.1043,17.6
5.1061,0.54
5.1068,0.72
5.1084,0.19
5.1097,0.62
5.1106,4.31
5.1109,4.31
5.1112,4.31
5.1127,0.2
5.1136,600.0
5.1144,6.76
5.1147,8.62
5.1148,8.62
5.1154,163.29
5.1161,0.2
5.1168,4.31
5.1193,4.31
5.1204,0.1
5.1210,4.31
5.1216,110.0
5.1239,100.0
5.1254,33.38
5.1255,13.8
5.1308,1.32
5.1324,0.73
5.1329,9.22
5.1335,0.88
5.1355,1.8
5.1372,0.2
5.1405,0.1
5.1413,8.45
5.1456,0.6
5.1457,33.71
5.1460,0.1
5.1472,0.99
5.1500,0.2
5.1520,0.1
5.1530,0.25
5.1531,9.91
5.1556,1.0
5.1570,300.0
5.1606,0.1
5.1640,0.1
5.1657,0.6
5.1681,3.03
5.1688,0.1
5.1699,0.1
5.1705,0.16
5.1712,0.16
5.1757,0.7
5.1773,0.99
5.1858,20.75
5.1918,3.69
5.1958,110.41
5.2059,20.75
5.2082,5.0
