price,amount
5.0103,2.98
5.0082,15.49
5.0065,1.58
5.0054,1.66
5.0037,1.42
5.0033,1.1
5.0032,4.4
5.0022,14.28
5.0020,1.55
5.0018,0.44
5.0014,2.28
5.0006,0.63
5.0001,1.0
5.0000,1.75
4.9999,0.62
4.9998,42.84
4.9989,0.83
4.9988,2.4
4.9976,0.74
4.9975,1.0
4.9963,0.87
4.9959,154.69
4.9958,15.96
4.9955,0.15
4.9945,0.14
4.9940,0.68
4.9939,6.79
4.9937,0.57
4.9934,7.68
4.9926,14.31
4.9920,0.45
4.9910,2.01
4.9900,0.93
4.9898,8.32
4.9897,0.42
4.9895,154.69
4.9893,9.54
4.9888,0.95
4.9885,0.45
4.9884,4.26
4.9883,6.52
4.9868,5.0
4.9862,0.99
4.9849,90.0
4.9845,19.07
4.9841,5.0
4.9821,1.2
4.9798,30.0
4.9784,0.1
4.9765,10.0
4.9763,30.0
4.9762,61.99
4.9750,245.83
4.9743,79.88
4.9737,0.2
4.9732,0.1
4.9718,15.99
4.9715,0.1
4.9712,0.1
4.9704,25.92
4.9703,0.1
4.9680,0.1
4.9676,0.28
4.9675,0.17
4.9656,11.39
4.9653,0.3
4.9637,0.6
4.9631,0.1
4.9615,16.02
4.9610,0.46
4.9589,0.1
4.9586,0.1
4.9579,0.1
4.9564,39.09
4.9563,0.1
4.9551,0.8
4.9527,0.1
4.9519,100.0
4.9512,5.54
4.9511,110.0
4.9473,1200.0
4.9451,157.44
4.9398,6.04
4.9351,104.5
4.9342,0.1
4.9337,0.26
4.9332,2.31
4.9322,0.1
4.9312,0.1
4.9303,0.1
4.9302,0.1
4.9292,3.6
4.9282,0.1
4.9272,0.1
4.9262,20.1
4.9252,99.8
4.9206,6.06
4.9205,1.32
4.9172,20.0
4.9083,20.0
4.9054,12.15
4.9053,40.0
4.8973,20.0
4.8874,19.6
4.8765,0.39
4.8755,317.58
4.8741,50.0
4.8683,300.0
4.8675,10.0
4.8643,16.5
4.8556,27.94
4.8292,8.23
3.3600,0.01
0.0001,17051.0
