price,amount
749.90,3.3815
749.97,1.0
750.04,1.2963
750.10,0.2
750.24,5.1167
750.30,0.3545
750.37,8.3499
750.43,3.5
750.50,1.0
750.90,0.8967
751.03,1.1829
751.10,0.702
751.23,9.0768
751.76,1.3533
751.83,0.1258
751.89,4.7933
752.03,23.7378
752.09,13.3297
752.22,0.041
752.29,1.1724
752.36,0.2949
752.42,1.8427
752.49,1.3727
752.56,0.0166
752.62,0.2893
887.00,2.38
890.00,1.58
1077.45,0.0446
1160.07,0.03
1209.00,1.0
1258.88,0.08
1280.00,0.0518
1289.00,1.0
1301.08,0.0305
1369.00,1.0
1449.00,1.0
1500.00,0.1584
1529.00,1.0
1609.00,1.0
1678.00,13.7446
1689.00,1.0
1700.00,0.6329
1725.88,0.01
1749.00,35.0251
1769.00,1.0
1849.00,1.0
1929.00,1.0
2009.00,1.0
2089.00,1.0
2169.00,1.0
3150.00,33.752
3165.00,16.876
3398.00,0.185
3598.88,0.254
5519.56,0.423
