price,amount
744.60,2.0
743.86,1.2227
743.73,3.0
743.60,0.2649
743.53,0.01
743.47,0.1572
743.40,0.01
743.21,0.3887
743.07,2.0391
743.01,1.0
742.94,0.3887
742.88,2.6517
742.81,0.7319
742.75,0.4
742.68,0.8838
742.61,0.8883
742.55,0.0495
742.48,1.7677
742.42,0.302
742.29,0.0462
742.22,1.8178
742.15,8.4346
742.09,1.3834
742.02,8.3749
741.96,0.15
741.83,0.5
741.69,0.5
741.43,0.203
676.00,0.1
666.00,0.22
616.00,2.93
553.80,0.001
29.00,12.0
28.03,121.0
23.05,12.0
23.03,122.0
23.00,0.158
