price,amount
0.02823000,5.94
0.02849715,1.6063
0.02849816,1.5
0.02849916,4.7895
0.02850320,0.0539
0.02850422,7.5
0.02850826,0.5932
0.02851027,3.4437
0.02851129,2.1802
0.02851230,2.8939
0.02851330,0.0613
0.02851432,0.5775
0.02851533,0.033
0.02851836,0.4533
0.02851937,2.967
0.02852240,1.7004
0.02852340,0.2625
0.02852543,2.4967
0.02852947,2.1278
0.02853047,0.5594
0.02853148,7.4441
0.02853350,0.075
0.02853451,0.867
0.02853754,0.5457
0.02854260,0.0302
0.02854461,0.078
0.02854562,1.5953
0.02854764,2.127
0.02855269,0.2894
0.02855674,4.2532
0.02855775,0.0342
0.02856279,1.5
0.02857795,8.1
0.02858299,7.5
0.02858805,3.6569
0.02859006,0.15
0.02859209,0.45
0.02859613,4.0985
0.02860016,2.983
0.02860623,0.3344
0.02861330,7.0691
0.02861430,0.15
0.02861531,5.1
0.02862441,0.5439
0.02863047,3.9465
0.02863451,0.0611
0.02865168,4.1943
0.02865572,6.5341
0.02865773,0.0775
0.02866480,0.01
0.02867188,0.0375
0.02888888,10.408
0.03716000,2.1
0.08500000,0.001
0.10000000,0.002
0.10649574,0.3
0.40000000,2.0
