price,amount
0.02812000,1.026
0.02811000,1.54
0.02791700,0.6
0.02791502,0.3
0.02791403,0.3
0.02790809,0.6
0.02790710,0.8384
0.02790216,0.06
0.02790017,3.8528
0.02789999,0.031
0.02789720,0.1515
0.02789622,0.6
0.02789523,0.051
0.02789423,0.5319
0.02789127,0.016
0.02789027,1.7004
0.02788929,1.5961
0.02788830,0.4746
0.02788631,1.5949
0.02788533,5.3194
0.02788434,1.0639
0.02788236,0.9493
0.02787840,0.066
0.02787641,7.9781
0.02787543,0.4534
0.02787444,1.0634
0.02787047,1.1694
0.02786751,0.45
0.02786552,0.6704
0.02786058,0.075
0.02785958,0.8475
0.02785859,3.147
0.02785661,4.261
0.02783879,0.8954
0.02783385,0.312
0.02782889,3.8384
0.02782395,1.2097
0.02781999,0.0724
0.02781800,1.5
0.02781404,8.1
0.02780018,2.5494
0.02779721,0.9
0.02778930,0.0713
0.02778731,0.3405
0.02777445,0.332
0.02776752,0.078
0.02776355,0.153
0.02775662,0.1965
0.02775563,2.2189
0.02775365,5.0085
0.02774772,2.5249
0.02774276,0.0224
0.02772693,5.1
0.00181500,1.0
0.00180000,1.0
0.00160000,1.0
0.00003188,0.003
