price,amount
114.34,2.1803
114.35,0.0599
114.37,0.45
114.41,0.2
114.42,0.0165
114.43,2.4171
114.44,0.2799
114.45,3.5759
114.46,1.5179
114.48,1.547
114.49,0.044
114.50,3.9625
114.51,1.8152
114.52,4.3404
114.56,4.3613
114.57,0.0196
114.58,0.01
114.59,0.1394
114.60,1.0
114.61,0.1892
114.62,0.64
114.63,3.8
114.64,1.7662
114.65,3.378
114.66,1.0
114.67,0.6482
114.69,0.0897
114.70,4.8862
114.71,0.3839
114.72,0.01
114.73,5.0624
114.74,0.02
114.75,0.0356
114.76,0.01
114.77,0.3
114.79,0.2
114.80,1.1009
114.81,0.5009
114.82,0.3109
114.83,10.6131
114.84,0.0221
114.85,1.0
114.87,0.273
114.88,0.2834
114.90,5.8092
114.92,0.05
114.93,1.008
114.94,0.0933
114.95,7.9197
114.97,0.0357
114.98,26.5824
115.00,1.03
120.00,7.317
128.00,0.808
186.00,29.0
235.00,0.499
250.00,0.01
450.00,0.023
556.00,0.162
